Ref Frequency,Temp,
21699943.94,11,
Frequency,Temp,ppm
21699943.86,12,-0.004
21699943.74,12.5,-0.01
21699943.65,13,-0.013
21699943.64,13.5,-0.014
21699943.56,14,-0.018
21699943.68,14.25,-0.012
21699943.51,14.75,-0.02
21699943.45,15.5,-0.023
21699943.41,16,-0.024
21699943.36,16.5,-0.027
21699943.23,17,-0.033
21699943.17,17.5,-0.036
21699943.26,17.75,-0.031
21699943.21,18.5,-0.034
21699943.16,19,-0.036
21699943.11,19.75,-0.038
21699943.09,20.25,-0.04
21699943.05,20.75,-0.041
21699942.96,21.25,-0.045
21699942.9,22,-0.048
21699942.94,22.5,-0.046
21699942.87,23.25,-0.05
21699942.74,24,-0.056
21699942.62,24.75,-0.061
21699942.6,25.25,-0.062
21699942.49,26,-0.067
21699942.3,26.75,-0.076
21699942.21,27.5,-0.08
21699942.06,28.25,-0.087
21699941.85,28.75,-0.096
21699941.85,29.25,-0.097
21699941.71,30,-0.103
21699941.64,30.75,-0.106
21699941.49,31.5,-0.113
21699941.43,32.25,-0.116
21699941.42,32.75,-0.116
21699941.34,33.5,-0.12
21699941.38,34.25,-0.118
21699941.41,35,-0.117
21699941.47,35.75,-0.114
21699941.47,36.5,-0.114
21699941.62,37,-0.107
21699941.78,37.75,-0.1
21699941.82,38.5,-0.098
21699941.91,39,-0.094
21699941.99,39.75,-0.09
21699942.05,40.5,-0.087
21699942.14,41.25,-0.083
21699942.25,42,-0.078
21699942.32,42.75,-0.075
21699942.51,43.25,-0.066
21699942.79,44,-0.053
21699942.98,44.75,-0.044
21699943.17,45.5,-0.036
21699943.37,46.25,-0.026
21699943.5,46.75,-0.02
21699943.72,47.5,-0.01
21699943.89,48.25,-0.003
21699944.09,49,0.007
21699944.43,49.75,0.022
21699944.68,50.25,0.034
21699944.92,51,0.045
21699945.11,51.75,0.054
21699945.18,52.5,0.057
21699945.48,53,0.071
21699945.43,53.5,0.068
21699945.6,54.25,0.076
21699945.69,55,0.081
21699945.79,55.5,0.085
21699945.76,56.25,0.084
