Ref Frequency,Temp,
21699918.93,10.75,
Frequency,Temp,ppm
21699918.93,12,0
21699918.83,12.5,-0.005
21699918.78,13,-0.007
21699918.8,13.5,-0.006
21699918.75,14,-0.008
21699918.84,14.5,-0.004
21699918.65,14.75,-0.013
21699918.71,15.5,-0.01
21699918.65,16,-0.013
21699918.64,16.5,-0.014
21699918.58,17,-0.016
21699918.56,17.5,-0.017
21699918.67,18,-0.012
21699918.69,18.5,-0.011
21699918.7,19,-0.011
21699918.7,19.75,-0.011
21699918.74,20.25,-0.009
21699918.81,20.75,-0.006
21699918.76,21.25,-0.008
21699918.73,21.75,-0.009
21699918.78,22.5,-0.007
21699918.76,23.25,-0.008
21699918.63,24,-0.014
21699918.57,24.75,-0.017
21699918.57,25.25,-0.017
21699918.45,26,-0.022
21699918.36,26.75,-0.027
21699918.31,27.5,-0.029
21699918.27,28,-0.031
21699918.12,28.75,-0.037
21699918.15,29.25,-0.036
21699918.19,30,-0.034
21699918.09,30.75,-0.039
21699918.05,31.5,-0.041
21699918.03,32.25,-0.042
21699918.16,32.75,-0.036
21699918.15,33.5,-0.036
21699918.29,34.25,-0.03
21699918.43,35,-0.023
21699918.61,35.75,-0.015
21699918.73,36.25,-0.009
21699918.84,37,-0.004
21699918.98,37.75,0.002
21699919.13,38.5,0.009
21699919.2,39.25,0.012
21699919.4,39.75,0.022
21699919.56,40.5,0.029
21699919.78,41.25,0.039
21699919.95,42,0.047
21699920.13,42.75,0.055
21699920.33,43.25,0.065
21699920.73,44,0.083
21699921,44.75,0.095
21699921.26,45.5,0.107
21699921.48,46.25,0.118
21699921.68,46.75,0.127
21699921.83,47.5,0.134
21699922.01,48.25,0.142
21699922.21,49,0.151
21699922.55,49.75,0.167
21699922.73,50.25,0.175
21699922.9,51,0.183
21699923.02,51.75,0.188
21699923.07,52.5,0.191
21699923.25,53.25,0.199
21699923.07,53.5,0.191
21699923.14,54.25,0.194
21699923.2,55,0.197
21699923.19,55.5,0.196
21699923.05,56.25,0.19
21699923.11,56.5,0.193
21699923.01,57.25,0.188
21699922.93,57.75,0.184
21699922.94,58.25,0.185
21699922.86,59,0.181
21699922.74,59.5,0.176
21699922.7,60,0.174
21699922.56,60.5,0.167
21699922.46,61,0.163
21699922.31,61.5,0.156
21699922.17,62,0.149
21699921.97,62.5,0.14
21699921.83,63.25,0.133
21699921.77,63.5,0.131
21699921.68,64,0.127
21699921.6,64.5,0.123
21699921.55,65,0.121
21699921.57,65.5,0.121
21699921.47,65.75,0.117
21699921.46,66.75,0.116
21699921.48,66.75,0.117
21699921.45,67.25,0.116
21699921.53,67.5,0.12
21699921.58,68,0.122
21699921.58,68.5,0.122
21699921.75,68.75,0.13
21699921.74,69.25,0.129
21699921.84,69.75,0.134
21699921.96,69.75,0.139
21699922.03,70.25,0.143
