Ref Frequency,Temp,
21699917.94,11,
Frequency,Temp,ppm
21699918.06,12,0.006
21699917.89,12.5,-0.002
21699917.93,13,0
21699917.91,13.75,-0.001
21699917.89,14.25,-0.002
21699918.03,14.5,0.004
21699917.92,14.75,-0.001
21699917.91,15.5,-0.001
21699917.88,16,-0.002
21699917.93,16.5,0
21699917.88,17,-0.003
21699917.87,17.5,-0.003
21699918.01,18,0.003
21699918.03,18.5,0.004
21699918.02,19,0.004
21699918,19.75,0.003
21699918.09,20.25,0.007
21699918.11,21,0.008
21699918.09,21.25,0.007
21699918.07,22,0.006
21699918.09,22.5,0.007
21699918.05,23.25,0.005
21699917.91,24,-0.001
21699917.75,24.5,-0.008
21699917.76,25.25,-0.008
21699917.76,26,-0.008
21699917.6,26.75,-0.016
21699917.63,27.5,-0.014
21699917.6,28.25,-0.016
21699917.51,29,-0.02
21699917.59,29.5,-0.016
21699917.45,30.25,-0.023
21699917.49,31,-0.021
21699917.43,31.75,-0.023
21699917.48,32.25,-0.021
21699917.49,32.75,-0.02
21699917.57,33.5,-0.017
21699917.67,34.5,-0.012
21699917.79,35.25,-0.007
21699917.9,35.75,-0.001
21699918.05,36.5,0.005
21699918.22,37,0.013
21699918.44,38,0.023
21699918.53,38.75,0.027
21699918.66,39,0.034
21699918.83,39.75,0.041
21699919.01,40.5,0.049
21699919.09,41.25,0.053
21699919.29,42,0.062
21699919.48,42.75,0.071
21699919.67,43.25,0.08
21699919.96,44,0.093
21699920.17,44.75,0.103
21699920.32,45.5,0.11
21699920.55,46.25,0.121
21699920.68,46.75,0.126
21699920.77,47.5,0.131
21699920.93,48.25,0.138
21699921.06,49,0.144
21699921.26,49.75,0.153
21699921.42,50.25,0.161
21699921.47,51,0.163
21699921.53,51.75,0.166
21699921.48,52.5,0.163
21699921.62,53,0.17
21699921.46,53.75,0.162
21699921.52,54.25,0.165
21699921.43,55,0.161
21699921.43,55.5,0.161
21699921.26,56.25,0.153
21699921.32,56.5,0.156
21699921.3,57.25,0.155
21699921.21,57.75,0.151
21699921.23,58.5,0.152
21699921.13,59,0.147
21699921.1,59.5,0.146
21699921.04,60.25,0.143
21699920.93,60.5,0.138
21699921,61,0.141
21699920.82,61.5,0.133
21699920.81,62.25,0.132
21699920.63,62.75,0.124
21699920.64,63.25,0.125
21699920.6,63.5,0.123
21699920.65,64,0.125
21699920.74,64.5,0.129
21699920.65,65,0.125
21699920.81,65.5,0.132
21699920.85,66,0.134
21699920.96,66.75,0.139
21699921.01,66.75,0.142
21699921.08,67.25,0.145
21699921.24,67.5,0.152
21699921.36,68,0.158
21699921.49,68.5,0.164
21699921.75,69,0.176
21699921.75,69.25,0.176
21699921.94,69.5,0.185
21699922.09,69.75,0.191
21699922.23,70.25,0.198
21699922.23,70.5,0.198
21699922.36,71,0.204
21699922.45,71.25,0.208
21699922.48,71.75,0.209
21699922.64,72,0.217
21699922.8,72.25,0.224
21699922.88,72.5,0.228
21699922.86,72.5,0.227
21699922.93,73,0.23
21699923.01,73.25,0.234
21699923,73.5,0.234
21699923.08,73.75,0.237
21699923.12,74,0.239
21699923.23,74.25,0.244
21699923.27,74.5,0.246
21699923.42,74.75,0.253
21699923.4,75,0.252
21699923.48,75,0.256
21699923.52,75.25,0.257
21699923.53,75.5,0.258
21699923.7,75.75,0.266
21699923.76,75.5,0.269
21699923.82,76,0.271
21699923.89,76.25,0.274
21699923.86,76.5,0.273
21699923.82,76.25,0.271
21699923.95,76.5,0.277
21699924.02,76.5,0.28
21699923.97,76.75,0.278
21699923.86,77,0.273
21699923.92,77,0.276
21699923.94,77.25,0.277
21699923.95,77.25,0.277
21699923.98,77.5,0.278
21699923.92,77.5,0.276
21699923.87,77.75,0.274
21699923.89,78,0.275
21699923.84,78,0.272
21699923.76,78,0.268
21699923.47,78.25,0.255
21699923.53,78.25,0.258
21699923.46,78.5,0.255
21699923.39,78.5,0.252
21699923.46,78.5,0.255
21699923.36,78.5,0.25
21699923.26,78.5,0.245
21699923.27,78.75,0.246
21699923.18,78.75,0.242
21699923.12,78.75,0.239
21699923.11,78.75,0.238
21699923.09,78.75,0.237
21699923.05,79,0.236
21699922.92,79,0.23
21699922.81,79,0.225
21699922.78,79.25,0.223
21699922.69,79.25,0.219
21699922.64,79.25,0.217
21699922.55,79.5,0.213
21699922.52,79.5,0.211
21699922.48,79.5,0.209
21699922.59,79.5,0.215
21699922.52,79.5,0.211
21699922.46,79.75,0.209
21699922.3,79.75,0.201
21699922.34,79.75,0.203
21699922.26,79.75,0.199
21699922.1,79.75,0.192
21699922.17,80,0.195
21699922.03,80,0.189
21699922.01,80,0.188
21699921.87,80,0.182
21699921.85,80,0.18
21699921.76,80,0.176
21699921.65,80.25,0.171
21699921.7,80.25,0.173
21699921.65,80.25,0.171
21699921.66,80.25,0.172
21699921.63,80.25,0.17
21699921.52,80.25,0.165
21699921.65,80.25,0.171
21699921.61,80.25,0.169
21699921.43,80.25,0.161
21699921.44,80.5,0.162
21699921.36,80.5,0.158
21699921.41,80.5,0.16
21699921.18,80.5,0.15
21699921.35,80.5,0.157
21699921.31,80.5,0.156
21699921.23,80.5,0.152
21699921.2,80.5,0.15
21699921.08,80.75,0.145
21699921.05,80.75,0.143
21699921.08,80.75,0.145
21699921.18,80.75,0.15
21699921.31,80.75,0.156
21699921.35,80.5,0.157
21699921.34,80.5,0.157
21699921.36,80.75,0.158
21699921.45,80.5,0.162
21699921.54,80.75,0.166
21699921.61,80.5,0.169
21699921.63,80.75,0.17
21699921.67,80.75,0.172
21699921.8,80.75,0.178
21699921.88,81,0.182
21699921.89,81,0.182
21699921.91,81,0.183
21699921.84,81,0.18
21699921.83,81,0.179
21699921.68,81,0.173
21699921.81,80.75,0.179
21699921.76,80.75,0.176
21699921.63,81,0.17
21699921.56,81,0.167
21699921.66,80.75,0.172
21699921.66,80.75,0.171
21699921.55,80.75,0.166
21699921.6,80.75,0.169
21699921.51,80.75,0.165
21699921.59,81,0.169
21699921.48,81,0.163
21699921.54,81,0.166
21699921.53,81,0.166
21699921.55,81,0.166
21699921.48,81,0.163
21699921.46,81,0.162
21699921.47,81,0.163
21699921.37,81,0.158
21699921.32,81,0.156
21699921.29,81.25,0.155
21699921.28,81,0.154
21699921.21,81,0.151
21699921.32,81,0.156
21699921.32,81,0.156
21699921.43,81,0.161
21699921.43,81,0.161
21699921.56,81,0.167
21699921.56,81,0.167
21699921.64,81,0.171
21699921.69,81.25,0.173
21699921.74,81,0.175
21699921.75,81,0.176
21699921.63,81,0.17
21699921.74,81,0.175
21699921.72,81,0.174
21699921.8,81,0.178
21699921.83,81,0.18
21699921.73,81,0.175
21699921.75,81,0.176
21699921.64,81,0.171
21699921.56,81,0.167
21699921.36,81.25,0.158
21699921.41,81.25,0.16
21699921.31,81.25,0.155
21699921.36,81.25,0.158
21699921.34,81.25,0.157
21699921.33,81.25,0.156
21699921.33,81.25,0.156
21699921.36,81.25,0.158
21699921.37,81.25,0.158
21699921.36,81.25,0.158
21699921.35,81.25,0.157
21699921.3,81.25,0.155
21699921.22,81.25,0.151
21699921.29,81.25,0.154
21699921.25,81.25,0.153
21699921.24,81.25,0.152
21699921.18,81.25,0.149
21699921.22,81.25,0.151
21699921.17,81.25,0.149
21699921.21,81.25,0.151
21699921.09,81.25,0.145
21699920.9,81.25,0.136
21699920.94,81.25,0.139
21699920.83,81.25,0.133
21699920.87,81.25,0.135
21699920.8,81.25,0.132
21699920.76,81.25,0.13
21699920.8,81.25,0.132
21699920.8,81.25,0.132
21699920.82,81.25,0.133
21699920.81,81.25,0.132
21699920.8,81.25,0.132
21699920.77,81.25,0.131
21699920.77,81.25,0.131
21699920.65,81.25,0.125
21699920.59,81.25,0.122
21699920.64,81.25,0.125
21699920.72,81.25,0.128
21699920.68,81.25,0.127
21699920.64,81.25,0.125
21699920.58,81.25,0.122
21699920.64,81.5,0.125
21699920.43,81.5,0.115
21699920.43,81.5,0.115
