Ref Frequency,Temp,
21699923.62,81,-0.249
21699923.63,81,-0.249
21699923.57,81,-0.251
21699923.39,81,-0.26
21699923.54,81,-0.253
21699923.49,81,-0.255
21699923.46,81,-0.257
21699923.39,81,-0.26
21699923.47,81,-0.256
21699923.39,81,-0.26
21699923.22,81,-0.268
21699923.51,81.25,-0.254
21699923.58,81.25,-0.251
21699923.62,81,-0.249
21699923.67,81,-0.247
21699923.77,81.25,-0.242
21699923.81,81.25,-0.24
21699923.78,81.25,-0.242
21699923.91,81.25,-0.236
21699923.98,81.25,-0.233
21699923.96,81.25,-0.234
21699923.96,81.25,-0.233
21699924,81.25,-0.232
21699924.04,81.25,-0.23
21699924.08,81.25,-0.228
21699924,81.25,-0.232
21699924,81.25,-0.232
21699923.91,81.25,-0.236
21699923.83,81.25,-0.24
21699923.59,81.25,-0.251
21699923.69,81.25,-0.246
21699923.73,81.25,-0.244
21699923.72,81.25,-0.245
21699923.71,81.25,-0.245
21699923.82,81.25,-0.24
21699923.66,81.25,-0.248
21699923.7,81.25,-0.246
21699923.71,81.25,-0.245
21699923.76,81.25,-0.243
21699923.7,81.25,-0.246
21699923.7,81.25,-0.246
21699923.74,81.25,-0.244
21699923.67,81.25,-0.247
21699923.63,81.5,-0.249
21699923.6,81.25,-0.25
21699923.69,81.25,-0.246
21699923.62,81.25,-0.249
21699923.66,81.25,-0.247
21699923.61,81.25,-0.25
21699923.49,81.5,-0.255
21699923.49,81.5,-0.255
21699923.45,81.25,-0.257
21699923.41,81.25,-0.259
21699923.3,81.5,-0.264
21699923.25,81.5,-0.266
21699923.27,81.5,-0.265
21699923.32,81.5,-0.263
21699923.19,81.5,-0.269
21699923.36,81.5,-0.261
21699923.37,81.5,-0.261
21699923.29,81.5,-0.265
21699923.25,81.5,-0.266
21699923.27,81.5,-0.265
21699923.25,81.5,-0.266
21699923.24,81.5,-0.267
21699923.3,81.5,-0.264
21699923.37,81.5,-0.261
21699923.23,81.5,-0.267
21699923.33,81.5,-0.263
21699923.29,81.5,-0.265
21699923.3,81.5,-0.264
21699923.06,81.5,-0.275
21699923.05,81.5,-0.276
21699923.11,81.5,-0.273
21699923.16,81.5,-0.27
21699923.06,81.5,-0.275
21699923,81.5,-0.278
21699923.11,81.5,-0.273
21699923.11,81.5,-0.273
21699923.09,81.5,-0.274
21699923.08,81.5,-0.274
21699923.23,81.5,-0.267
21699923.1,81.5,-0.273
21699923.14,81.5,-0.271
21699923.1,81.5,-0.273
21699923.15,81.75,-0.271
21699923.09,81.75,-0.274
21699923.24,81.75,-0.267
21699923.2,81.75,-0.268
21699923.27,82,-0.266
21699923.23,82,-0.267
21699923.29,82.25,-0.265
21699923.33,82.25,-0.262
21699923.42,82.5,-0.259
21699923.55,82.5,-0.253
21699923.61,82.75,-0.25
21699923.68,82.75,-0.246
21699923.86,82.75,-0.238
21699923.79,83,-0.242
21699923.98,83.25,-0.232
21699923.98,83.25,-0.232
21699924.06,83.25,-0.229
21699924.12,83.5,-0.226
21699924.29,83.5,-0.219
21699924.32,83.75,-0.217
21699924.47,83.75,-0.21
21699924.49,84,-0.209
21699924.63,84,-0.203
21699924.82,84,-0.194
21699924.87,84.25,-0.192
21699925.23,84.25,-0.175
21699925.36,84.25,-0.169
21699925.3,84.5,-0.172
21699925.38,84.5,-0.168
21699925.46,84.5,-0.164
21699925.63,84.75,-0.157
21699925.76,84.75,-0.15
21699925.75,84.75,-0.151
21699925.88,85,-0.145
21699926.04,85,-0.138
21699926.15,85,-0.132
21699926.25,85,-0.128
21699926.39,85,-0.122
21699926.52,85,-0.115
21699926.55,85.25,-0.114
21699926.64,85.25,-0.11
21699926.76,85.25,-0.104
21699926.73,85.25,-0.106
21699926.72,85.25,-0.107
21699926.78,85,-0.103
21699926.75,84.75,-0.105
21699926.66,84.75,-0.109
21699926.56,84.75,-0.114
21699926.35,84.25,-0.123
21699926.16,84.25,-0.132
21699925.91,84,-0.144
