Ref Frequency,Temp,
21699939.66,0,
Frequency,Temp,ppm
21699939.76,12,0.005
21699939.71,12.5,0.002
21699939.72,13,0.003
21699939.78,13.5,0.006
21699939.74,14,0.004
21699939.8,14.5,0.007
21699939.65,15,0
21699939.77,15.5,0.005
21699939.74,16,0.004
21699939.74,16.5,0.004
21699939.8,17.25,0.007
21699939.75,17.75,0.004
21699939.92,18.25,0.012
21699939.98,18.75,0.015
21699940.04,19.25,0.017
21699940.17,20,0.024
21699940.28,20.5,0.029
21699940.35,21.25,0.032
21699940.37,21.75,0.033
21699940.36,22.25,0.032
21699940.41,23,0.035
21699940.54,23.5,0.041
21699940.41,24.25,0.035
21699940.48,24.75,0.038
21699940.57,25.5,0.042
21699940.52,26,0.04
21699940.51,26.75,0.039
21699940.38,27.5,0.033
21699940.37,28,0.033
21699940.21,28.75,0.025
21699940.27,29.5,0.028
21699940.32,30.25,0.03
21699940.23,31,0.026
21699940.13,31.5,0.022
21699940.2,32.25,0.025
21699940.35,33,0.032
21699940.34,33.75,0.031
21699940.39,34.5,0.034
21699940.51,35.25,0.039
21699940.58,35.75,0.042
21699940.75,36.75,0.05
21699940.84,37.25,0.055
21699941.1,38,0.067
21699941.33,38.75,0.077
21699941.48,39.5,0.084
21699941.72,40.25,0.095
21699941.81,41,0.099
21699942,41.75,0.108
21699942.16,42.25,0.115
21699942.33,43,0.123
21699942.56,43.75,0.134
21699942.85,44.5,0.147
21699943,45.25,0.154
21699943.35,46,0.17
21699943.52,46.75,0.178
21699943.67,47.5,0.185
21699943.87,48,0.194
21699944.1,48.75,0.205
21699944.24,49.5,0.211
21699944.63,50.25,0.229
21699944.8,51,0.237
21699945.01,51.75,0.247
21699945.14,52.5,0.253
21699945.24,53.25,0.257
21699945.44,53.75,0.266
21699945.33,54.5,0.262
21699945.4,55,0.265
21699945.5,55.5,0.269
21699945.51,56.25,0.27
21699945.48,56.75,0.268
21699945.5,57.25,0.269
21699945.39,57.75,0.264
21699945.33,58.25,0.261
21699945.28,58.75,0.259
21699945.25,59,0.258
21699945.11,59.5,0.251
21699945.04,60,0.248
21699944.96,60.5,0.244
21699944.86,61,0.24
21699944.67,61.5,0.231
21699944.57,62,0.226
21699944.45,62.5,0.221
21699944.24,63,0.211
21699944.2,63.75,0.209
21699944.12,64.25,0.206
21699944.01,64.5,0.201
21699944.01,65,0.201
21699943.99,65.75,0.2
21699943.96,66,0.198
21699943.93,66.75,0.197
21699943.96,67,0.198
21699943.97,67.5,0.199
21699944,67.75,0.2
21699944,68.25,0.2
21699944.04,68.75,0.202
21699944.15,69,0.207
21699944.19,69.5,0.209
21699944.32,69.75,0.215
21699944.32,70.25,0.215
21699944.41,70.5,0.219
21699944.37,71,0.217
21699944.51,71.25,0.224
21699944.49,71.75,0.223
21699944.52,72,0.224
21699944.61,72.25,0.228
21699944.71,72.5,0.233
21699944.76,73,0.235
21699944.81,73.25,0.237
21699944.81,73.25,0.238
21699944.91,73.5,0.242
21699944.94,74,0.243
21699944.98,74.25,0.245
21699944.97,74.5,0.245
21699945.17,74.25,0.254
21699945.34,74.75,0.262
21699945.34,75,0.262
21699945.37,75.25,0.263
21699945.52,75.5,0.27
21699945.59,75.5,0.274
21699945.65,75.75,0.276
21699945.78,76,0.282
21699945.91,76.25,0.288
21699945.98,76.25,0.291
21699946.13,76.5,0.298
21699946.2,76.5,0.302
21699946.11,76.75,0.297
21699946.34,76.75,0.308
21699946.36,76.75,0.309
21699946.3,77,0.306
21699946.3,77.25,0.306
21699946.27,77.25,0.305
21699946.27,77.5,0.305
21699946.29,77.5,0.306
21699946.44,77.75,0.313
21699946.36,77.75,0.309
21699946.28,78,0.305
21699946.22,78,0.302
21699946.19,78.25,0.301
21699946.13,78.25,0.298
21699945.98,78.25,0.291
21699945.86,78.5,0.286
21699945.85,78.25,0.286
21699945.63,78.5,0.275
21699945.71,78.5,0.279
21699945.52,78.5,0.27
21699945.57,78.75,0.273
21699945.49,79,0.269
21699945.34,78.75,0.262
21699945.36,78.75,0.263
21699945.13,79,0.252
21699945.19,79,0.255
21699945.18,79.25,0.254
21699944.93,79.25,0.243
21699944.83,79.5,0.239
21699944.82,79.5,0.238
21699944.73,79.5,0.234
21699944.65,79.25,0.23
21699944.52,79.5,0.224
21699944.45,79.75,0.221
21699944.42,79.75,0.219
21699944.44,79.75,0.22
21699944.35,79.75,0.216
21699944.25,79.75,0.212
21699944.11,79.75,0.205
21699944.11,80,0.205
21699943.97,80,0.199
21699943.81,80,0.191
21699943.82,80,0.192
