Ref Frequency,Temp,
21699936.96,0,
Frequency,Temp,ppm
21699936.82,12,-0.007
21699936.7,12.5,-0.012
21699936.58,13,-0.018
21699936.6,13.5,-0.017
21699936.45,14,-0.024
21699936.46,14.5,-0.023
21699936.3,15,-0.031
21699936.26,15.5,-0.032
21699936.15,16,-0.038
21699936.08,16.5,-0.041
21699936.09,17,-0.04
21699935.99,17.75,-0.045
21699936.05,18.25,-0.042
21699936,18.75,-0.045
21699935.89,19.25,-0.05
21699936,19.75,-0.044
21699935.91,20.5,-0.048
21699935.95,21,-0.047
21699935.88,21.75,-0.05
21699935.75,22.25,-0.056
21699935.76,23,-0.056
21699935.71,23.5,-0.058
21699935.57,24,-0.064
21699935.52,24.75,-0.066
21699935.42,25.25,-0.071
21699935.3,26,-0.077
21699935.21,26.75,-0.081
21699935.09,27.5,-0.086
21699934.95,28,-0.093
21699934.83,28.75,-0.098
21699934.82,29.5,-0.099
21699934.83,30.25,-0.098
21699934.77,30.75,-0.101
21699934.61,31.5,-0.108
21699934.62,32.25,-0.108
21699934.73,33,-0.103
21699934.77,33.75,-0.101
21699934.75,34.5,-0.102
21699934.83,35.25,-0.098
21699934.9,35.75,-0.095
21699935.08,36.5,-0.087
21699935.13,37.25,-0.084
21699935.41,38,-0.072
21699935.62,38.75,-0.062
21699935.85,39.5,-0.051
21699936.04,40.25,-0.042
21699936.18,40.75,-0.036
21699936.45,41.5,-0.024
21699936.66,42.25,-0.014
21699936.82,43,-0.006
21699937.18,43.75,0.01
21699937.47,44.5,0.024
21699937.71,45.25,0.035
21699938,46,0.048
21699938.39,46.75,0.066
21699938.54,47.25,0.073
21699938.78,48,0.084
21699939.12,48.75,0.1
21699939.38,49.5,0.111
21699939.81,50.25,0.131
21699940.11,51,0.145
21699940.46,51.75,0.161
21699940.69,52.5,0.172
21699941,53,0.186
21699941.31,53.75,0.2
21699941.42,54.25,0.205
21699941.66,55,0.216
21699941.8,55.5,0.223
21699941.97,56,0.231
21699942.06,56.75,0.235
21699942.29,57.25,0.245
21699942.36,57.75,0.249
21699942.45,58.25,0.253
21699942.49,58.75,0.255
21699942.64,59,0.262
21699942.64,59.5,0.262
21699942.69,60,0.264
21699942.64,60.5,0.262
21699942.74,61,0.266
21699942.66,61.5,0.263
21699942.7,62,0.264
21699942.67,62.5,0.263
21699942.57,63,0.258
21699942.61,63.5,0.26
21699942.56,64,0.258
21699942.57,64.5,0.258
21699942.56,65,0.258
21699942.64,65.5,0.262
21699942.62,66,0.261
21699942.56,66.75,0.258
21699942.6,67,0.26
21699942.62,67.5,0.261
21699942.61,67.75,0.26
21699942.63,68.25,0.261
21699942.62,68.75,0.261
21699942.63,69,0.261
21699942.63,69.5,0.261
21699942.6,69.75,0.26
21699942.55,70.25,0.257
21699942.53,70.5,0.257
21699942.45,71,0.253
21699942.37,71.25,0.249
21699942.27,71.75,0.245
21699942.15,72,0.239
21699942.16,72.25,0.239
21699942.04,72.5,0.234
21699941.93,72.75,0.229
21699941.82,73,0.224
21699941.67,73.25,0.217
21699941.54,73.5,0.211
21699941.42,74,0.206
21699941.34,74.25,0.202
21699941.11,74.5,0.191
21699941.1,74.5,0.191
21699941.14,74.75,0.193
21699940.98,75,0.185
21699940.82,75.25,0.178
21699940.83,75.5,0.178
21699940.83,75.5,0.178
21699940.71,75.75,0.172
21699940.64,76,0.17
21699940.68,76.25,0.171
21699940.6,76.25,0.167
21699940.64,76.5,0.17
21699940.53,76.5,0.164
21699940.4,76.75,0.158
21699940.47,77,0.162
21699940.39,77,0.158
21699940.27,77.25,0.152
21699940.21,77.25,0.15
21699940.07,77.5,0.143
21699940.03,77.5,0.141
21699939.95,77.5,0.138
21699940.03,77.75,0.141
21699939.88,77.75,0.135
21699939.8,78,0.131
21699939.66,78,0.124
21699939.6,78,0.121
21699939.43,78,0.114
21699939.35,78.25,0.11
21699939.29,78.5,0.107
21699939.16,78.25,0.101
21699938.96,78.75,0.092
21699939,78.5,0.094
21699938.82,78.5,0.085
21699938.83,78.75,0.086
21699938.77,78.75,0.084
21699938.62,78.75,0.076
21699938.62,78.75,0.076
21699938.43,79,0.068
21699938.49,79,0.07
21699938.39,79.25,0.066
21699938.23,79.25,0.058
21699938.16,79.25,0.055
21699938.16,79.5,0.055
21699937.99,79.5,0.047
21699937.93,79.5,0.044
21699937.83,79.5,0.04
21699937.79,79.75,0.038
21699937.71,79.75,0.034
21699937.76,79.75,0.037
21699937.73,79.75,0.035
21699937.54,79.75,0.026
21699937.56,79.75,0.027
21699937.54,80,0.026
21699937.46,80,0.023
21699937.19,80,0.01
21699937.28,80,0.014
21699937.22,80,0.012
21699937.14,80,0.008
21699937.11,80,0.007
21699936.98,80.25,0.001
21699936.92,80.25,-0.002
21699936.77,80.25,-0.009
21699936.8,80.25,-0.008
21699936.71,80.25,-0.012
21699936.68,80.25,-0.013
21699936.69,80.25,-0.013
21699936.54,80.25,-0.019
21699936.66,80.5,-0.014
21699936.56,80.5,-0.018
21699936.57,80.25,-0.018
21699936.43,80.5,-0.025
21699936.45,80.5,-0.024
21699936.34,80.5,-0.029
21699936.41,80.5,-0.026
21699936.29,80.5,-0.031
21699936.3,80.5,-0.031
21699936.2,80.5,-0.035
21699936.28,80.5,-0.031
21699936.2,80.75,-0.035
21699936.08,80.75,-0.04
21699936.08,80.75,-0.041
21699936.16,80.75,-0.037
21699936.25,80.75,-0.033
21699936.27,80.75,-0.032
21699936.34,80.75,-0.029
21699936.41,80.75,-0.026
21699936.32,80.75,-0.03
21699936.53,80.75,-0.02
21699936.5,80.75,-0.022
21699936.46,80.75,-0.023
21699936.63,80.75,-0.015
21699936.72,80.75,-0.011
21699936.79,81,-0.008
21699936.9,81,-0.003
21699936.79,80.75,-0.008
21699936.76,81,-0.009
21699936.74,81,-0.01
21699936.68,81,-0.013
21699936.71,81,-0.012
21699936.73,81,-0.011
21699936.72,81,-0.011
21699936.61,81,-0.016
21699936.58,81,-0.018
21699936.58,81,-0.017
21699936.51,81,-0.021
21699936.55,81,-0.019
21699936.52,81,-0.02
21699936.53,81,-0.02
21699936.52,81,-0.02
21699936.47,81,-0.023
21699936.5,81,-0.021
21699936.52,81,-0.02
21699936.35,81,-0.028
21699936.32,81,-0.03
21699936.37,81,-0.027
21699936.27,81,-0.032
21699936.23,81,-0.034
21699936.19,81,-0.036
21699936.21,81,-0.035
21699936.17,81,-0.037
21699935.96,81,-0.046
21699936.23,81.25,-0.034
21699936.36,81.25,-0.028
21699936.39,81,-0.027
21699936.4,81,-0.026
21699936.43,81.25,-0.025
21699936.5,81.25,-0.021
21699936.52,81.25,-0.02
21699936.63,81,-0.015
21699936.65,81.25,-0.014
