Ref Frequency,Temp,
21699943.53,80.75,-0.129
21699943.49,80.75,-0.13
21699943.42,81,-0.134
21699943.44,81,-0.133
21699943.47,80.75,-0.131
21699943.39,81,-0.135
21699943.32,81,-0.138
21699943.37,81,-0.136
21699943.19,81,-0.144
21699943.16,81,-0.146
21699943.18,81,-0.145
21699943.21,81.25,-0.143
21699943.08,81,-0.149
21699943.09,81,-0.149
21699943.22,81,-0.143
21699943.32,81,-0.138
21699943.32,81,-0.138
21699943.39,81,-0.135
21699943.39,81,-0.135
21699943.47,81,-0.131
21699943.51,81,-0.129
21699943.59,81,-0.126
21699943.63,81,-0.124
21699943.53,81,-0.129
21699943.66,81,-0.122
21699943.55,81,-0.128
21699943.57,81,-0.127
21699943.66,81,-0.123
21699943.62,81,-0.124
21699943.6,81,-0.125
21699943.48,81.25,-0.131
21699943.3,81.25,-0.139
21699943.15,81,-0.146
21699943.23,81.25,-0.143
21699943.17,81,-0.145
21699943.26,81.25,-0.141
21699943.19,81.25,-0.144
21699943.19,81.25,-0.144
21699943.15,81.25,-0.146
21699943.2,81.25,-0.144
21699943.22,81.25,-0.143
21699943.18,81.25,-0.145
21699943.18,81.25,-0.145
21699943.19,81.25,-0.144
21699943.13,81.25,-0.147
21699943.09,81.25,-0.149
21699943.12,81.25,-0.147
21699943.08,81.25,-0.149
21699943.11,81.25,-0.148
21699943.08,81.25,-0.149
21699943,81.25,-0.153
21699943,81.25,-0.153
21699942.87,81.25,-0.159
21699942.76,81.25,-0.164
21699942.82,81.25,-0.161
21699942.7,81.25,-0.167
21699942.61,81.25,-0.171
21699942.66,81.25,-0.169
21699942.54,81.25,-0.174
21699942.62,81.25,-0.17
21699942.58,81.25,-0.172
21699942.64,81.25,-0.17
21699942.61,81.25,-0.171
21699942.62,81.25,-0.17
21699942.49,81.25,-0.177
21699942.55,81.25,-0.174
21699942.54,81.25,-0.174
21699942.43,81.25,-0.179
21699942.55,81.25,-0.174
21699942.52,81.25,-0.175
21699942.43,81.25,-0.179
21699942.48,81.25,-0.177
21699942.44,81.25,-0.179
21699942.44,81.25,-0.179
21699942.29,81.5,-0.186
21699942.27,81.5,-0.187
21699942.18,81.25,-0.191
21699942.28,81.5,-0.186
21699942.3,81.25,-0.185
21699942.23,81.5,-0.189
21699942.22,81.5,-0.189
21699942.19,81.5,-0.19
21699942.25,81.5,-0.188
21699942.23,81.5,-0.189
21699942.21,81.5,-0.189
21699942.26,81.5,-0.187
21699942.19,81.5,-0.19
21699942.11,81.5,-0.194
21699942.16,81.5,-0.192
21699942.07,81.5,-0.196
21699942.1,81.75,-0.195
21699941.96,81.75,-0.201
21699941.96,81.75,-0.201
21699941.87,82,-0.205
21699941.79,82,-0.209
21699941.79,82.25,-0.209
21699941.8,82.25,-0.209
21699941.65,82.5,-0.215
21699941.6,82.5,-0.217
21699941.6,82.75,-0.217
21699941.47,82.75,-0.223
21699941.32,83,-0.23
21699941.27,83,-0.233
21699941.12,83.25,-0.239
21699940.99,83.25,-0.246
21699940.96,83.5,-0.247
21699940.85,83.5,-0.252
21699940.75,83.75,-0.257
21699940.7,83.75,-0.259
21699940.68,83.75,-0.26
21699940.5,83.75,-0.268
21699940.4,83.75,-0.273
21699940.47,84,-0.27
21699940.46,84,-0.27
