Ref Frequency,Temp,
21699933.33,0,
Frequency,Temp,ppm
21699933.23,12,-0.004
21699933.12,12.5,-0.009
21699933.03,13,-0.013
21699933.04,13.5,-0.013
21699932.86,14,-0.022
21699932.91,14.5,-0.019
21699932.73,15,-0.028
21699932.7,15.5,-0.029
21699932.6,16,-0.033
21699932.57,16.5,-0.035
21699932.58,17.25,-0.034
21699932.48,17.75,-0.039
21699932.52,18.25,-0.037
21699932.48,18.75,-0.039
21699932.41,19.25,-0.042
21699932.46,20,-0.04
21699932.36,20.5,-0.044
21699932.44,21,-0.041
21699932.37,21.75,-0.044
21699932.24,22.25,-0.05
21699932.26,23,-0.049
21699932.24,23.5,-0.05
21699932.14,24,-0.055
21699932.12,24.75,-0.056
21699932.03,25.5,-0.06
21699931.97,26,-0.062
21699931.84,26.75,-0.069
21699931.7,27.5,-0.075
21699931.63,28,-0.078
21699931.46,28.75,-0.086
21699931.43,29.5,-0.087
21699931.5,30.25,-0.084
21699931.42,30.75,-0.088
21699931.27,31.5,-0.095
21699931.3,32.25,-0.093
21699931.45,33,-0.087
21699931.49,33.75,-0.085
21699931.54,34.5,-0.082
21699931.68,35.25,-0.076
21699931.82,35.75,-0.07
21699932.06,36.5,-0.058
21699932.08,37.25,-0.057
21699932.34,38,-0.046
21699932.5,38.75,-0.038
21699932.66,39.5,-0.031
21699932.85,40.25,-0.022
21699932.96,41,-0.017
21699933.16,41.5,-0.008
21699933.41,42.25,0.004
21699933.6,43,0.012
21699933.88,43.75,0.026
21699934.24,44.5,0.042
21699934.44,45.25,0.052
21699934.85,46,0.07
21699935.17,46.75,0.085
21699935.36,47.5,0.094
21699935.62,48,0.106
21699935.95,48.75,0.121
21699936.22,49.5,0.134
21699936.75,50.25,0.158
21699937.01,51,0.17
21699937.39,51.75,0.187
21699937.66,52.5,0.2
21699937.92,53,0.212
21699938.21,53.75,0.225
21699938.27,54.5,0.228
21699938.53,55,0.24
21699938.73,55.5,0.249
21699938.85,56,0.255
21699938.98,56.75,0.261
21699939.17,57.25,0.269
21699939.2,57.75,0.271
21699939.26,58.25,0.274
21699939.3,58.75,0.275
21699939.42,59,0.281
21699939.36,59.5,0.278
21699939.44,60,0.282
21699939.4,60.5,0.28
21699939.44,61,0.282
21699939.35,61.5,0.278
21699939.34,62,0.277
21699939.27,62.5,0.274
21699939.17,63,0.269
21699939.16,63.5,0.269
21699939.11,64,0.266
21699939.08,64.5,0.265
21699939.07,65,0.264
21699939.11,65.5,0.266
21699939.06,66,0.264
21699938.98,66.75,0.261
21699939.02,67,0.262
21699939,67.5,0.261
21699938.95,67.75,0.259
21699938.97,68.25,0.26
21699938.92,68.75,0.258
21699938.97,69,0.26
21699938.9,69.5,0.257
21699938.94,69.75,0.259
21699938.83,70.25,0.254
21699938.83,70.5,0.254
21699938.7,71,0.248
21699938.65,71.25,0.245
21699938.53,71.75,0.24
21699938.41,72,0.234
21699938.38,72.25,0.233
21699938.31,72.5,0.23
21699938.19,73,0.224
21699938.09,73,0.22
21699937.98,73.25,0.214
21699937.83,73.5,0.208
21699937.73,74,0.203
21699937.62,74.25,0.198
21699937.42,74.5,0.189
21699937.45,74.5,0.19
21699937.46,74.75,0.191
21699937.34,75,0.185
21699937.24,75.25,0.18
21699937.24,75.25,0.18
21699937.19,75.5,0.178
21699937.11,75.75,0.175
21699937.05,76,0.172
21699937.07,76,0.173
21699937.01,76.25,0.17
21699937.05,76.5,0.172
21699937.02,76.5,0.17
21699936.83,76.75,0.162
21699936.9,77,0.165
21699936.85,77,0.162
21699936.7,77.25,0.155
21699936.64,77.25,0.153
21699936.52,77.5,0.147
21699936.49,77.5,0.146
21699936.39,77.75,0.141
21699936.5,77.5,0.146
21699936.37,77.75,0.14
21699936.24,78,0.134
21699936.15,78,0.13
21699936.06,78.25,0.126
21699935.92,78.25,0.12
21699935.79,78.25,0.113
21699935.69,78.5,0.109
21699935.58,78.25,0.104
21699935.41,78.5,0.096
21699935.44,78.5,0.098
21699935.25,78.5,0.089
21699935.28,78.75,0.09
21699935.16,78.75,0.084
21699934.98,78.75,0.076
21699935.01,79,0.078
21699934.77,79.25,0.067
21699934.86,79,0.071
21699934.81,79.25,0.068
21699934.55,79.25,0.056
21699934.44,79.25,0.051
21699934.44,79.5,0.051
21699934.33,79.5,0.046
21699934.25,79.25,0.043
21699934.11,79.5,0.036
21699934.03,79.75,0.033
21699934.01,79.75,0.031
21699934,79.75,0.031
21699933.91,79.75,0.027
21699933.8,79.75,0.022
21699933.78,79.75,0.021
21699933.73,80,0.019
21699933.62,80,0.014
21699933.39,80,0.003
21699933.47,80,0.007
21699933.35,80,0.001
21699933.28,80,-0.002
21699933.27,80,-0.003
21699933.14,80.25,-0.009
