Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.96055954461e+001
+1.01800975118e+000,-6.00706087094e+001
+1.03634385350e+000,-6.05356182311e+001
+1.05500814844e+000,-6.10006238754e+001
+1.07400858268e+000,-6.14656255015e+001
+1.09335121002e+000,-6.19306229637e+001
+1.11304219327e+000,-6.23956161107e+001
+1.13308780622e+000,-6.28606047860e+001
+1.15349443568e+000,-6.33255888273e+001
+1.17426858345e+000,-6.29470985600e+001
+1.19541686846e+000,-6.34120728229e+001
+1.21694602882e+000,-6.38770419288e+001
+1.23886292399e+000,-6.43420056908e+001
+1.26117453700e+000,-6.48069639149e+001
+1.28388797661e+000,-6.53994325904e+001
+1.30701047961e+000,-6.58643791289e+001
+1.33054941314e+000,-6.63293195047e+001
+1.35451227700e+000,-6.67942534945e+001
+1.37890670608e+000,-6.72591808666e+001
+1.40374047276e+000,-6.82701868584e+001
+1.42902148939e+000,-6.87351002666e+001
+1.45475781085e+000,-6.92000063109e+001
+1.48095763705e+000,-6.96649047243e+001
+1.50762931560e+000,-6.94956498976e+001
+1.53478134445e+000,-6.99605322095e+001
+1.56242237458e+000,-7.04254060303e+001
+1.59056121278e+000,-7.08902710524e+001
+1.61920682446e+000,-7.08355520812e+001
+1.64836833648e+000,-7.13003985379e+001
+1.67805504007e+000,-7.17652352045e+001
+1.70827639381e+000,-7.22300617264e+001
+1.73904202661e+000,-7.27328399458e+001
+1.77036174080e+000,-7.31976450628e+001
+1.80224551525e+000,-7.36624388926e+001
+1.83470350855e+000,-7.41272210265e+001
+1.86774606222e+000,-7.42851124785e+001
+1.90138370407e+000,-7.47498699355e+001
+1.93562715148e+000,-7.52146143802e+001
+1.97048731486e+000,-7.52733209822e+001
+2.00597530110e+000,-7.57380379733e+001
+2.04210241715e+000,-7.62027404883e+001
+2.07888017356e+000,-7.68044648594e+001
+2.11632028822e+000,-7.72691368330e+001
+2.15443469003e+000,-7.77337927030e+001
+2.19323552273e+000,-7.79740705946e+001
+2.23273514878e+000,-7.84386924903e+001
+2.27294615326e+000,-7.89032964729e+001
+2.31388134792e+000,-7.85095513864e+001
+2.35555377526e+000,-7.89741175783e+001
+2.39797671264e+000,-7.94386638455e+001
+2.44116367658e+000,-8.00944749036e+001
+2.48512842698e+000,-8.05589791382e+001
+2.52988497160e+000,-8.10234612125e+001
+2.57544757045e+000,-8.17718708977e+001
+2.62183074038e+000,-8.22363062250e+001
+2.66904925965e+000,-8.12346635658e+001
+2.71711817270e+000,-8.16990487154e+001
+2.76605279492e+000,-8.21634074124e+001
+2.81586871751e+000,-8.24393092530e+001
+2.86658181246e+000,-8.29036121529e+001
+2.91820823764e+000,-8.32133439354e+001
+2.97076444190e+000,-8.36775869502e+001
+3.02426717031e+000,-8.32122616314e+001
+3.07873346955e+000,-8.36764403764e+001
+3.13418069329e+000,-8.36304162855e+001
+3.19062650773e+000,-8.40945260593e+001
+3.24808889724e+000,-8.40596714630e+001
+3.30658617009e+000,-8.45237072241e+001
+3.36613696427e+000,-8.45711857809e+001
+3.42676025343e+000,-8.50351421245e+001
+3.48847535295e+000,-8.54949747751e+001
+3.55130192606e+000,-8.59588459075e+001
+3.61525999011e+000,-8.60923494585e+001
+3.68036992298e+000,-8.65561291697e+001
+3.74665246955e+000,-8.62337551202e+001
+3.81412874828e+000,-8.60812885412e+001
