Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.79727216464e+001
+1.01800975118e+000,-5.84377349097e+001
+1.03634385350e+000,-5.89027444314e+001
+1.05500814844e+000,-5.93677500757e+001
+1.07400858268e+000,-5.98327517018e+001
+1.09335121002e+000,-6.02977491640e+001
+1.11304219327e+000,-6.07627423110e+001
+1.13308780622e+000,-6.12277309863e+001
+1.15349443568e+000,-6.16927150276e+001
+1.17426858345e+000,-5.88324084097e+001
+1.19541686846e+000,-5.92973826725e+001
+1.21694602882e+000,-5.97623517785e+001
+1.23886292399e+000,-6.02273155404e+001
+1.26117453700e+000,-6.06922737645e+001
+1.28388797661e+000,-6.12423985093e+001
+1.30701047961e+000,-6.17073450477e+001
+1.33054941314e+000,-6.21722854236e+001
+1.35451227700e+000,-6.26372194134e+001
+1.37890670608e+000,-6.31021467855e+001
+1.40374047276e+000,-6.30494126167e+001
+1.42902148939e+000,-6.35143260249e+001
+1.45475781085e+000,-6.39792320691e+001
+1.48095763705e+000,-6.44441304826e+001
+1.50762931560e+000,-6.38122478150e+001
+1.53478134445e+000,-6.42771301269e+001
+1.56242237458e+000,-6.47420039477e+001
+1.59056121278e+000,-6.52068689698e+001
+1.61920682446e+000,-6.70426661477e+001
+1.64836833648e+000,-6.75075126044e+001
+1.67805504007e+000,-6.79723492710e+001
+1.70827639381e+000,-6.84371757929e+001
+1.73904202661e+000,-6.67146570780e+001
+1.77036174080e+000,-6.71794621949e+001
+1.80224551525e+000,-6.76442560247e+001
+1.83470350855e+000,-6.81090381587e+001
+1.86774606222e+000,-7.16589559995e+001
+1.90138370407e+000,-7.21237134565e+001
+1.93562715148e+000,-7.25884579013e+001
+1.97048731486e+000,-7.18477218121e+001
+2.00597530110e+000,-7.23124388031e+001
+2.04210241715e+000,-7.27771413181e+001
+2.07888017356e+000,-6.90845654372e+001
+2.11632028822e+000,-6.95492374108e+001
+2.15443469003e+000,-7.00138932808e+001
+2.19323552273e+000,-6.88093227829e+001
+2.23273514878e+000,-6.92739446786e+001
+2.27294615326e+000,-6.97385486612e+001
+2.31388134792e+000,-7.16531670035e+001
+2.35555377526e+000,-7.21177331955e+001
+2.39797671264e+000,-7.25822794627e+001
+2.44116367658e+000,-7.22948850320e+001
+2.48512842698e+000,-7.27593892666e+001
+2.52988497160e+000,-7.32238713409e+001
+2.57544757045e+000,-7.63183884051e+001
+2.62183074038e+000,-7.67828237324e+001
+2.66904925965e+000,-7.58423226022e+001
+2.71711817270e+000,-7.63067077518e+001
+2.76605279492e+000,-7.67710664488e+001
+2.81586871751e+000,-7.66929829899e+001
+2.86658181246e+000,-7.71572858898e+001
+2.91820823764e+000,-7.85872148234e+001
+2.97076444190e+000,-7.90514578381e+001
+3.02426717031e+000,-7.90708339114e+001
+3.07873346955e+000,-7.95350126565e+001
+3.13418069329e+000,-7.95457765194e+001
+3.19062650773e+000,-8.00098862932e+001
+3.24808889724e+000,-8.00274121902e+001
+3.30658617009e+000,-8.04914479513e+001
+3.36613696427e+000,-7.98918298306e+001
+3.42676025343e+000,-8.03557861742e+001
+3.48847535295e+000,-8.10613467418e+001
+3.55130192606e+000,-8.15252178742e+001
+3.61525999011e+000,-8.07417497406e+001
+3.68036992298e+000,-8.12055294519e+001
+3.74665246955e+000,-7.95185970690e+001
+3.81412874828e+000,-7.97965721139e+001
+3.88282025801e+000,-8.02602020682e+001
+3.95274888473e+000,-7.97856515174e+001
+4.02393690862e+000,-8.02491725115e+001
+4.09640701111e+000,-8.05581507423e+001
+4.17018228212e+000,-8.25839893520e+001
+4.24528622739e+000,-8.30473319080e+001
+4.32174277604e+000,-8.44860759781e+001
+4.39957628810e+000,-8.56976768454e+001
+4.47881156235e+000,-8.61608212399e+001
+4.55947384417e+000,-8.63210999676e+001
+4.64158883361e+000,-8.47404579644e+001
+4.72518269359e+000,-8.52033823489e+001
+4.81028205818e+000,-8.73912398765e+001
+4.89691404115e+000,-8.53873250642e+001
+4.98510624459e+000,-8.42408404039e+001
+5.07488676766e+000,-8.47034333762e+001
+5.16628421561e+000,-8.60600175427e+001
+5.25932770886e+000,-8.69660652042e+001
+5.35404689227e+000,-8.77667699698e+001
+5.45047194461e+000,-8.83395179700e+001
+5.54863358815e+000,-8.79633179328e+001
+5.64856309846e+000,-8.84253193048e+001
+5.75029231439e+000,-8.72939163899e+001
+5.85385364818e+000,-8.65716027690e+001
+5.95928009583e+000,-8.61125826193e+001
+6.06660524757e+000,-8.45346094500e+001
+6.17586329859e+000,-8.51301956527e+001
+6.28708905992e+000,-8.60885151608e+001
+6.40031796953e+000,-8.68834110733e+001
+6.51558610364e+000,-8.79694013055e+001
+6.63293018816e+000,-8.83741525326e+001
+6.75238761044e+000,-8.84958363897e+001
+6.87399643118e+000,-8.90662498187e+001
+6.99779539652e+000,-9.09725561192e+001
+7.12382395042e+000,-9.16736439475e+001
+7.25212224722e+000,-8.95137745018e+001
+7.38273116442e+000,-8.94141504420e+001
+7.51569231572e+000,-9.03185633773e+001
+7.65104806427e+000,-9.10052647918e+001
+7.78884153618e+000,-8.90895875538e+001
+7.92911663423e+000,-8.89441634144e+001
+8.07191805189e+000,-8.89231242908e+001
+8.21729128755e+000,-9.18889662764e+001
+8.36528265901e+000,-9.21323402980e+001
+8.51593931825e+000,-9.06013939871e+001
+8.66930926644e+000,-8.95959317490e+001
+8.82544136923e+000,-9.14133607936e+001
+8.98438537235e+000,-9.19427886024e+001
+9.14619191741e+000,-9.29345549992e+001
+9.31091255809e+000,-9.14142509979e+001
+9.47859977652e+000,-9.25235080894e+001
+9.64930700003e+000,-9.48732011257e+001
+9.82308861817e+000,-9.39583062563e+001
+1.00000000000e+001,-9.23609516594e+001
+1.01800975118e+001,-9.35310478068e+001
+1.03634385350e+001,-9.41927634916e+001
+1.05500814844e+001,-9.28997843518e+001
+1.07400858268e+001,-9.34035562897e+001
+1.09335121002e+001,-9.40007880406e+001
+1.11304219327e+001,-9.39725739984e+001
+1.13308780622e+001,-9.52902252418e+001
+1.15349443568e+001,-9.71388961640e+001
+1.17426858345e+001,-9.57988787238e+001
+1.19541686846e+001,-9.62365829199e+001
+1.21694602882e+001,-9.50524262644e+001
+1.23886292399e+001,-9.52762768934e+001
+1.26117453700e+001,-9.59837652996e+001
+1.28388797661e+001,-9.52231607419e+001
+1.30701047961e+001,-9.33776662089e+001
+1.33054941314e+001,-9.51778342708e+001
+1.35451227700e+001,-9.66821162550e+001
+1.37890670608e+001,-9.84282008996e+001
+1.40374047276e+001,-9.80577521498e+001
+1.42902148939e+001,-9.74274045550e+001
+1.45475781085e+001,-9.70398976193e+001
+1.48095763705e+001,-9.74009694580e+001
+1.50762931560e+001,-9.60089964654e+001
+1.53478134445e+001,-9.78907157055e+001
+1.56242237458e+001,-9.83693382215e+001
+1.59056121278e+001,-9.72347993142e+001
+1.61920682446e+001,-9.92637809440e+001
+1.64836833648e+001,-1.00880323947e+002
+1.67805504007e+001,-9.81111091039e+001
+1.70827639381e+001,-9.85723033675e+001
+1.73904202661e+001,-1.00171898468e+002
+1.77036174080e+001,-1.00152920690e+002
+1.80224551525e+001,-9.96463122044e+001
+1.83470350855e+001,-9.83372654445e+001
+1.86774606222e+001,-9.85114579008e+001
+1.90138370407e+001,-1.00748388859e+002
+1.93562715148e+001,-1.01175872655e+002
+1.97048731486e+001,-9.97415145048e+001
+2.00597530110e+001,-1.00530000467e+002
+2.04210241715e+001,-1.00584977769e+002
+2.07888017356e+001,-1.00425655978e+002
+2.11632028822e+001,-1.01153467958e+002
+2.15443469003e+001,-1.01391221551e+002
+2.19323552273e+001,-1.01229850201e+002
+2.23273514878e+001,-1.01615655139e+002
+2.27294615326e+001,-1.00108432850e+002
+2.31388134792e+001,-1.02873394091e+002
+2.35555377526e+001,-1.00435100904e+002
+2.39797671264e+001,-1.00886900297e+002
+2.44116367658e+001,-1.02474443615e+002
+2.48512842698e+001,-1.02483728981e+002
+2.52988497160e+001,-1.03115057985e+002
+2.57544757045e+001,-1.04081641655e+002
+2.62183074038e+001,-1.02447913728e+002
+2.66904925965e+001,-1.02900956858e+002
+2.71711817270e+001,-1.03152656289e+002
+2.76605279492e+001,-1.03660156679e+002
+2.81586871751e+001,-1.02923117337e+002
+2.86658181246e+001,-1.06857926163e+002
+2.91820823764e+001,-1.03336724959e+002
+2.97076444190e+001,-1.04962724206e+002
+3.02426717031e+001,-1.04480042976e+002
+3.07873346955e+001,-1.03893427202e+002
+3.13418069329e+001,-1.04426856337e+002
+3.19062650773e+001,-1.04442798878e+002
+3.24808889724e+001,-1.05556717963e+002
+3.30658617009e+001,-1.05192278987e+002
+3.36613696427e+001,-1.05638563959e+002
+3.42676025343e+001,-1.07349602753e+002
+3.48847535295e+001,-1.05952884411e+002
+3.55130192606e+001,-1.04725918292e+002
+3.61525999011e+001,-1.06891143836e+002
+3.68036992298e+001,-1.07030425435e+002
+3.74665246955e+001,-1.06370749627e+002
+3.81412874828e+001,-1.06543628991e+002
+3.88282025801e+001,-1.07592619036e+002
+3.95274888473e+001,-1.08955792141e+002
+4.02393690862e+001,-1.07651880128e+002
+4.09640701111e+001,-1.08142947506e+002
+4.17018228212e+001,-1.07859615487e+002
+4.24528622739e+001,-1.08394170414e+002
+4.32174277604e+001,-1.07470929043e+002
+4.39957628810e+001,-1.10034183843e+002
+4.47881156235e+001,-1.07740121245e+002
+4.55947384417e+001,-1.10610521975e+002
+4.64158883361e+001,-1.10309770470e+002
+4.72518269359e+001,-1.09614072063e+002
+4.81028205818e+001,-1.10031343919e+002
+4.89691404115e+001,-1.09081164459e+002
+4.98510624459e+001,-1.10217391855e+002
+5.07488676766e+001,-1.09874479548e+002
+5.16628421561e+001,-1.10617411387e+002
+5.25932770886e+001,-1.10554252741e+002
+5.35404689227e+001,-1.11189751025e+002
+5.45047194461e+001,-1.11338707373e+002
+5.54863358815e+001,-1.11211029666e+002
+5.64856309846e+001,-1.11733266441e+002
+5.75029231439e+001,-1.10704039389e+002
+5.85385364818e+001,-1.10193759043e+002
+5.95928009583e+001,-1.10841606862e+002
+6.06660524757e+001,-1.14225398120e+002
+6.17586329859e+001,-1.11303931510e+002
+6.28708905992e+001,-1.12368047860e+002
+6.40031796953e+001,-1.12651237886e+002
+6.51558610364e+001,-1.12960696036e+002
+6.63293018816e+001,-1.12922695782e+002
+6.75238761044e+001,-1.12189483818e+002
+6.87399643118e+001,-1.12826941966e+002
+6.99779539652e+001,-1.12396725040e+002
+7.12382395042e+001,-1.11928112249e+002
+7.25212224722e+001,-1.11650522567e+002
+7.38273116442e+001,-1.13576410515e+002
+7.51569231572e+001,-1.13025506252e+002
+7.65104806427e+001,-1.13677325542e+002
+7.78884153618e+001,-1.13339134394e+002
+7.92911663423e+001,-1.13673250772e+002
+8.07191805189e+001,-1.13797686380e+002
+8.21729128755e+001,-1.14016777492e+002
+8.36528265901e+001,-1.16159786259e+002
+8.51593931825e+001,-1.14329531194e+002
+8.66930926644e+001,-1.14073947195e+002
+8.82544136923e+001,-1.14385793395e+002
+8.98438537235e+001,-1.15392611246e+002
+9.14619191741e+001,-1.16225865846e+002
+9.31091255809e+001,-1.16891901724e+002
+9.47859977652e+001,-1.16945775519e+002
+9.64930700003e+001,-1.16218241966e+002
+9.82308861817e+001,-1.16499038917e+002
+1.00000000000e+002,-1.16487099258e+002
+1.01800975118e+002,-1.16754997849e+002
+1.03634385350e+002,-1.16769742685e+002
+1.05500814844e+002,-1.15438356364e+002
+1.07400858268e+002,-1.16139588924e+002
+1.09335121002e+002,-1.15241651382e+002
+1.11304219327e+002,-1.15555586652e+002
+1.13308780622e+002,-1.15782441380e+002
+1.15349443568e+002,-1.18844224659e+002
+1.17426858345e+002,-1.17882810826e+002
+1.19541686846e+002,-1.18101291667e+002
+1.21694602882e+002,-1.17759595201e+002
+1.23886292399e+002,-1.19025379109e+002
+1.26117453700e+002,-1.16993553472e+002
+1.28388797661e+002,-1.18453086711e+002
+1.30701047961e+002,-1.19359179482e+002
+1.33054941314e+002,-1.17879225393e+002
+1.35451227700e+002,-1.18134232629e+002
+1.37890670608e+002,-1.17997550601e+002
+1.40374047276e+002,-1.20920282216e+002
+1.42902148939e+002,-1.17261852386e+002
+1.45475781085e+002,-1.19228880803e+002
+1.48095763705e+002,-1.19889845221e+002
+1.50762931560e+002,-1.18838665206e+002
+1.53478134445e+002,-1.20023793604e+002
+1.56242237458e+002,-1.20819093437e+002
+1.59056121278e+002,-1.19463182811e+002
+1.61920682446e+002,-1.20250972231e+002
+1.64836833648e+002,-1.18766074793e+002
+1.67805504007e+002,-1.20330769301e+002
+1.70827639381e+002,-1.21202584053e+002
+1.73904202661e+002,-1.22042154962e+002
+1.77036174080e+002,-1.22906386233e+002
+1.80224551525e+002,-1.20294025565e+002
+1.83470350855e+002,-1.22504975152e+002
+1.86774606222e+002,-1.20502879131e+002
+1.90138370407e+002,-1.22964683526e+002
+1.93562715148e+002,-1.21127154727e+002
+1.97048731486e+002,-1.20842434011e+002
+2.00597530110e+002,-1.20742102220e+002
+2.04210241715e+002,-1.21282391244e+002
+2.07888017356e+002,-1.21431542684e+002
+2.11632028822e+002,-1.21501477038e+002
