Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+001,-1.68141194063e+001
+1.33054941314e+001,-1.57454572830e+001
+1.35451227700e+001,-1.61292285541e+001
+1.37890670608e+001,-1.79582787346e+001
+1.40374047276e+001,-1.70519309757e+001
+1.42902148939e+001,-1.66392619522e+001
+1.45475781085e+001,-1.82328218480e+001
+1.48095763705e+001,-1.73279433497e+001
+1.50762931560e+001,-1.79046984904e+001
+1.53478134445e+001,-1.70242253478e+001
+1.56242237458e+001,-1.69698768717e+001
+1.59056121278e+001,-1.89818734942e+001
+1.61920682446e+001,-1.86728764551e+001
+1.64836833648e+001,-1.84106175506e+001
+1.67805504007e+001,-2.18315092752e+001
+1.70827639381e+001,-1.99282295785e+001
+1.73904202661e+001,-1.74784300275e+001
+1.77036174080e+001,-1.93486144507e+001
+1.80224551525e+001,-1.94081356524e+001
+1.83470350855e+001,-2.03866000125e+001
+1.86774606222e+001,-1.85398100012e+001
+1.90138370407e+001,-1.91815791838e+001
+1.93562715148e+001,-2.10758994242e+001
+1.97048731486e+001,-2.29992849850e+001
+2.00597530110e+001,-2.13124807877e+001
+2.04210241715e+001,-2.29607595855e+001
+2.07888017356e+001,-2.24652207656e+001
+2.11632028822e+001,-2.24062868082e+001
+2.15443469003e+001,-1.98177925651e+001
+2.19323552273e+001,-2.22607339657e+001
+2.23273514878e+001,-2.28958854298e+001
+2.27294615326e+001,-2.28150848969e+001
+2.31388134792e+001,-2.30407932664e+001
+2.35555377526e+001,-2.42597681474e+001
+2.39797671264e+001,-2.51428335538e+001
+2.44116367658e+001,-2.44125184902e+001
+2.48512842698e+001,-2.58746782523e+001
+2.52988497160e+001,-2.43296691388e+001
+2.57544757045e+001,-2.56711248680e+001
+2.62183074038e+001,-2.55397779971e+001
+2.66904925965e+001,-2.46387117254e+001
+2.71711817270e+001,-2.35933534758e+001
+2.76605279492e+001,-2.46076698896e+001
+2.81586871751e+001,-2.74313356131e+001
+2.86658181246e+001,-2.60652957655e+001
+2.91820823764e+001,-2.81874458860e+001
+2.97076444190e+001,-2.72137023729e+001
+3.02426717031e+001,-2.45341704266e+001
+3.07873346955e+001,-2.81300009570e+001
+3.13418069329e+001,-2.76609766267e+001
+3.19062650773e+001,-2.57596853985e+001
+3.24808889724e+001,-2.71213277397e+001
+3.30658617009e+001,-2.76278943758e+001
+3.36613696427e+001,-2.65943592691e+001
+3.42676025343e+001,-2.75823609916e+001
+3.48847535295e+001,-2.81438903945e+001
+3.55130192606e+001,-2.61749599248e+001
+3.61525999011e+001,-2.92010337596e+001
+3.68036992298e+001,-2.60162828058e+001
+3.74665246955e+001,-2.77844499602e+001
+3.81412874828e+001,-2.96957848802e+001
+3.88282025801e+001,-2.78635207391e+001
+3.95274888473e+001,-2.91165349793e+001
+4.02393690862e+001,-2.89132980901e+001
+4.09640701111e+001,-2.84508243765e+001
+4.17018228212e+001,-2.81618666903e+001
+4.24528622739e+001,-2.98438509848e+001
+4.32174277604e+001,-2.88203754582e+001
+4.39957628810e+001,-2.92668092503e+001
+4.47881156235e+001,-2.97947270845e+001
+4.55947384417e+001,-3.00778172675e+001
+4.64158883361e+001,-2.73068069466e+001
+4.72518269359e+001,-3.21814578115e+001
+4.81028205818e+001,-2.99406698970e+001
+4.89691404115e+001,-2.99776094116e+001
+4.98510624459e+001,-3.20275524991e+001
+5.07488676766e+001,-3.14270621945e+001
+5.16628421561e+001,-3.05790475130e+001
+5.25932770886e+001,-3.10952587083e+001
+5.35404689227e+001,-3.16584225439e+001
+5.45047194461e+001,-3.05320794177e+001
+5.54863358815e+001,-3.12188080141e+001
+5.64856309846e+001,-3.08109336605e+001
+5.75029231439e+001,-3.17744018905e+001
+5.85385364818e+001,-3.26895709033e+001
+5.95928009583e+001,-3.37399350925e+001
+6.06660524757e+001,-3.06089095266e+001
+6.17586329859e+001,-3.39115665932e+001
+6.28708905992e+001,-3.38040041920e+001
+6.40031796953e+001,-3.30723021537e+001
+6.51558610364e+001,-3.32630022212e+001
+6.63293018816e+001,-3.43628001625e+001
+6.75238761044e+001,-3.21272967917e+001
+6.87399643118e+001,-3.37723578593e+001
+6.99779539652e+001,-3.32920250910e+001
+7.12382395042e+001,-3.39026673805e+001
+7.25212224722e+001,-3.37749201317e+001
+7.38273116442e+001,-3.35974549965e+001
+7.51569231572e+001,-3.49754411100e+001
+7.65104806427e+001,-3.40358541110e+001
+7.78884153618e+001,-3.34953674299e+001
+7.92911663423e+001,-3.42917172374e+001
+8.07191805189e+001,-3.38674478514e+001
+8.21729128755e+001,-3.49490245949e+001
+8.36528265901e+001,-3.49609114246e+001
+8.51593931825e+001,-3.74738466613e+001
+8.66930926644e+001,-3.49393780474e+001
+8.82544136923e+001,-3.65134565014e+001
+8.98438537235e+001,-3.38638841429e+001
+9.14619191741e+001,-3.59170200113e+001
+9.31091255809e+001,-3.55770008028e+001
+9.47859977652e+001,-3.59165410177e+001
+9.64930700003e+001,-3.42876193970e+001
+9.82308861817e+001,-3.60720459592e+001
+1.00000000000e+002,-3.46818001337e+001
+1.01800975118e+002,-3.61891056844e+001
+1.03634385350e+002,-3.52308262346e+001
+1.05500814844e+002,-3.56157136642e+001
+1.07400858268e+002,-3.45909803699e+001
+1.09335121002e+002,-3.63407495972e+001
+1.11304219327e+002,-3.54901892772e+001
+1.13308780622e+002,-3.45226830829e+001
+1.15349443568e+002,-3.40178778280e+001
+1.17426858345e+002,-3.43615791144e+001
+1.19541686846e+002,-3.79744884460e+001
+1.21694602882e+002,-3.54342499572e+001
+1.23886292399e+002,-3.59825546093e+001
+1.26117453700e+002,-3.78969768697e+001
+1.28388797661e+002,-3.74110842474e+001
+1.30701047961e+002,-3.76536483983e+001
+1.33054941314e+002,-3.74687094801e+001
+1.35451227700e+002,-3.84904201059e+001
+1.37890670608e+002,-3.77445437148e+001
+1.40374047276e+002,-3.69838785691e+001
+1.42902148939e+002,-3.72928231761e+001
+1.45475781085e+002,-3.76120936371e+001
+1.48095763705e+002,-3.74237052940e+001
+1.50762931560e+002,-3.75652603367e+001
+1.53478134445e+002,-3.98879887369e+001
+1.56242237458e+002,-3.87315946323e+001
+1.59056121278e+002,-3.64224818415e+001
+1.61920682446e+002,-4.01915582197e+001
+1.64836833648e+002,-3.73376198655e+001
+1.67805504007e+002,-3.73809831968e+001
+1.70827639381e+002,-3.68656804160e+001
+1.73904202661e+002,-3.96628623736e+001
+1.77036174080e+002,-3.82088629996e+001
+1.80224551525e+002,-3.87964754835e+001
+1.83470350855e+002,-3.93157991100e+001
+1.86774606222e+002,-3.85152187020e+001
+1.90138370407e+002,-4.00424690745e+001
+1.93562715148e+002,-3.96138980337e+001
+1.97048731486e+002,-4.05405178634e+001
+2.00597530110e+002,-4.02490025264e+001
+2.04210241715e+002,-4.03170369570e+001
+2.07888017356e+002,-4.11238024472e+001
+2.11632028822e+002,-4.06699585358e+001
+2.15443469003e+002,-3.95636772564e+001
+2.19323552273e+002,-4.08083738674e+001
+2.23273514878e+002,-4.16005674768e+001
+2.27294615326e+002,-4.20562148311e+001
+2.31388134792e+002,-4.17089392432e+001
+2.35555377526e+002,-4.09838419310e+001
+2.39797671264e+002,-4.26473244007e+001
+2.44116367658e+002,-4.35527786513e+001
+2.48512842698e+002,-4.22911651080e+001
+2.52988497160e+002,-4.28470182879e+001
+2.57544757045e+002,-4.38878431580e+001
+2.62183074038e+002,-4.14386574343e+001
+2.66904925965e+002,-4.12569393595e+001
+2.71711817270e+002,-4.13589521039e+001
+2.76605279492e+002,-4.11660499683e+001
+2.81586871751e+002,-4.19819271996e+001
+2.86658181246e+002,-4.16865568385e+001
+2.91820823764e+002,-4.31437740791e+001
+2.97076444190e+002,-4.27823406368e+001
+3.02426717031e+002,-4.26447932860e+001
+3.07873346955e+002,-4.36550711251e+001
+3.13418069329e+002,-4.28010072741e+001
+3.19062650773e+002,-4.53952281423e+001
+3.24808889724e+002,-4.31544609154e+001
+3.30658617009e+002,-4.53000402059e+001
+3.36613696427e+002,-4.35249517203e+001
+3.42676025343e+002,-4.28015875538e+001
+3.48847535295e+002,-4.43110243513e+001
+3.55130192606e+002,-4.53597401295e+001
+3.61525999011e+002,-4.24460739173e+001
+3.68036992298e+002,-4.39262870594e+001
+3.74665246955e+002,-4.46510863917e+001
+3.81412874828e+002,-4.30509657415e+001
+3.88282025801e+002,-4.41376146555e+001
+3.95274888473e+002,-4.39241558830e+001
+4.02393690862e+002,-4.51505463134e+001
+4.09640701111e+002,-4.48194459362e+001
+4.17018228212e+002,-4.48230205353e+001
+4.24528622739e+002,-4.48337548148e+001
+4.32174277604e+002,-4.44484722895e+001
+4.39957628810e+002,-4.56075863454e+001
+4.47881156235e+002,-4.67391553914e+001
+4.55947384417e+002,-4.45031012304e+001
+4.64158883361e+002,-4.47743841541e+001
+4.72518269359e+002,-4.53779021206e+001
+4.81028205818e+002,-4.54451895337e+001
+4.89691404115e+002,-4.41745134597e+001
+4.98510624459e+002,-4.61284065000e+001
+5.07488676766e+002,-4.55580415101e+001
+5.16628421561e+002,-4.55977883198e+001
+5.25932770886e+002,-4.59213789917e+001
+5.35404689227e+002,-4.56488631266e+001
+5.45047194461e+002,-4.62311497152e+001
+5.54863358815e+002,-4.79700738034e+001
+5.64856309846e+002,-4.66955685651e+001
+5.75029231439e+002,-4.54755529983e+001
+5.85385364818e+002,-4.59063567065e+001
+5.95928009583e+002,-4.63257464548e+001
+6.06660524757e+002,-4.88137905927e+001
+6.17586329859e+002,-4.68356337738e+001
+6.28708905992e+002,-4.85379753881e+001
+6.40031796953e+002,-4.65372550836e+001
+6.51558610364e+002,-4.74804828167e+001
+6.63293018816e+002,-4.86810316664e+001
+6.75238761044e+002,-4.82481814622e+001
+6.87399643118e+002,-4.78672059488e+001
+6.99779539652e+002,-4.93275863956e+001
+7.12382395042e+002,-4.69873521852e+001
+7.25212224722e+002,-4.73612522935e+001
+7.38273116442e+002,-4.83690041492e+001
+7.51569231572e+002,-4.76777517824e+001
+7.65104806427e+002,-4.93972941302e+001
+7.78884153618e+002,-4.85219693644e+001
+7.92911663423e+002,-4.92941666133e+001
+8.07191805189e+002,-4.80811585372e+001
+8.21729128755e+002,-4.93484887709e+001
+8.36528265901e+002,-4.92185746618e+001
+8.51593931825e+002,-4.72958710078e+001
+8.66930926644e+002,-4.84509535707e+001
+8.82544136923e+002,-5.09305647125e+001
+8.98438537235e+002,-5.14532345546e+001
+9.14619191741e+002,-4.96379525558e+001
+9.31091255809e+002,-5.11702223994e+001
+9.47859977652e+002,-5.00726256677e+001
+9.64930700003e+002,-5.02006427434e+001
+9.82308861817e+002,-5.06805139416e+001
+1.00000000000e+003,-5.15531733052e+001
+1.01800975118e+003,-5.20298810618e+001
+1.03634385350e+003,-5.11688613937e+001
+1.05500814844e+003,-5.10833434367e+001
+1.07400858268e+003,-4.97931449476e+001
+1.09335121002e+003,-5.19713132448e+001
+1.11304219327e+003,-5.06989577350e+001
+1.13308780622e+003,-5.14275228250e+001
+1.15349443568e+003,-5.31386396351e+001
+1.17426858345e+003,-5.19331110381e+001
+1.19541686846e+003,-5.12437312657e+001
+1.21694602882e+003,-5.36931981789e+001
+1.23886292399e+003,-5.14490399111e+001
+1.26117453700e+003,-4.97978175565e+001
+1.28388797661e+003,-5.03983388011e+001
+1.30701047961e+003,-5.13320363505e+001
+1.33054941314e+003,-5.18851709248e+001
+1.35451227700e+003,-5.15517896743e+001
+1.37890670608e+003,-5.18662701138e+001
+1.40374047276e+003,-5.27446151113e+001
+1.42902148939e+003,-5.29385436256e+001
+1.45475781085e+003,-5.25696832229e+001
+1.48095763705e+003,-5.36181928383e+001
+1.50762931560e+003,-5.11171870811e+001
+1.53478134445e+003,-5.35756490313e+001
+1.56242237458e+003,-5.55787381712e+001
+1.59056121278e+003,-5.49616748084e+001
+1.61920682446e+003,-5.52269620915e+001
+1.64836833648e+003,-5.60668242530e+001
+1.67805504007e+003,-5.68464799278e+001
+1.70827639381e+003,-5.46865479135e+001
+1.73904202661e+003,-5.47897687756e+001
+1.77036174080e+003,-5.60437043180e+001
+1.80224551525e+003,-5.50698075268e+001
+1.83470350855e+003,-5.51538176481e+001
+1.86774606222e+003,-5.47519730044e+001
+1.90138370407e+003,-5.50657572824e+001
+1.93562715148e+003,-5.36234852667e+001
+1.97048731486e+003,-5.59261177247e+001
+2.00597530110e+003,-5.56599222956e+001
+2.04210241715e+003,-5.60407475409e+001
+2.07888017356e+003,-5.44932914639e+001
+2.11632028822e+003,-5.53678137521e+001
+2.15443469003e+003,-5.46612633092e+001
+2.19323552273e+003,-5.73735349587e+001
+2.23273514878e+003,-5.51929937469e+001
+2.27294615326e+003,-5.48866735460e+001
+2.31388134792e+003,-5.56393629793e+001
+2.35555377526e+003,-5.64608016991e+001
+2.39797671264e+003,-5.60592421826e+001
+2.44116367658e+003,-5.66716739800e+001
+2.48512842698e+003,-5.74522083316e+001
+2.52988497160e+003,-5.70805494221e+001
+2.57544757045e+003,-5.66752743503e+001
+2.62183074038e+003,-5.73756255953e+001
+2.66904925965e+003,-5.68658971752e+001
+2.71711817270e+003,-5.61364397926e+001
+2.76605279492e+003,-5.67293852057e+001
+2.81586871751e+003,-5.56089785867e+001
+2.86658181246e+003,-5.70105408231e+001
+2.91820823764e+003,-5.69602043871e+001
+2.97076444190e+003,-5.63897873214e+001
+3.02426717031e+003,-5.56358822532e+001
+3.07873346955e+003,-5.47990815784e+001
+3.13418069329e+003,-5.49180305014e+001
+3.19062650773e+003,-5.42597625673e+001
+3.24808889724e+003,-5.37213703057e+001
+3.30658617009e+003,-5.47255734938e+001
+3.36613696427e+003,-5.52294092013e+001
+3.42676025343e+003,-5.44655347727e+001
+3.48847535295e+003,-5.37755842408e+001
+3.55130192606e+003,-5.37817901965e+001
+3.61525999011e+003,-5.39350669616e+001
+3.68036992298e+003,-5.46830744755e+001
+3.74665246955e+003,-5.46840325139e+001
+3.81412874828e+003,-5.47509283068e+001
+3.88282025801e+003,-5.51716084307e+001
+3.95274888473e+003,-5.49285154255e+001
+4.02393690862e+003,-5.62503623299e+001
+4.09640701111e+003,-5.75778553356e+001
+4.17018228212e+003,-5.69509291359e+001
+4.24528622739e+003,-5.67729513340e+001
+4.32174277604e+003,-5.65729855141e+001
+4.39957628810e+003,-5.65472471044e+001
+4.47881156235e+003,-5.70170488986e+001
+4.55947384417e+003,-6.09201773063e+001
+4.64158883361e+003,-5.80889809990e+001
+4.72518269359e+003,-5.90102023617e+001
+4.81028205818e+003,-6.00448629117e+001
+4.89691404115e+003,-6.03903922511e+001
+4.98510624459e+003,-6.03032249633e+001
+5.07488676766e+003,-5.99452946517e+001
+5.16628421561e+003,-5.93510122591e+001
+5.25932770886e+003,-6.05576156043e+001
+5.35404689227e+003,-6.02118558728e+001
+5.45047194461e+003,-6.00845169344e+001
+5.54863358815e+003,-5.93332518198e+001
+5.64856309846e+003,-6.24328556559e+001
+5.75029231439e+003,-6.04033676341e+001
+5.85385364818e+003,-6.13247940321e+001
+5.95928009583e+003,-6.10492214704e+001
+6.06660524757e+003,-6.09893558878e+001
+6.17586329859e+003,-6.05963386841e+001
+6.28708905992e+003,-6.19414081275e+001
+6.40031796953e+003,-5.96477273174e+001
+6.51558610364e+003,-6.07795491597e+001
+6.63293018816e+003,-6.06409473225e+001
+6.75238761044e+003,-6.18449277430e+001
+6.87399643118e+003,-6.14143368827e+001
+6.99779539652e+003,-6.17196042993e+001
+7.12382395042e+003,-6.15455617382e+001
+7.25212224722e+003,-6.03169350388e+001
+7.38273116442e+003,-6.23564300635e+001
+7.51569231572e+003,-6.44406101780e+001
+7.65104806427e+003,-6.17328320001e+001
+7.78884153618e+003,-6.03934321097e+001
+7.92911663423e+003,-6.06746513430e+001
+8.07191805189e+003,-6.29882443293e+001
+8.21729128755e+003,-6.10997599494e+001
+8.36528265901e+003,-6.13770918178e+001
+8.51593931825e+003,-6.31717445449e+001
+8.66930926644e+003,-6.50441578932e+001
+8.82544136923e+003,-6.19856055421e+001
+8.98438537235e+003,-6.20432117978e+001
+9.14619191741e+003,-6.26950582225e+001
+9.31091255809e+003,-6.27528668836e+001
+9.47859977652e+003,-6.25059280249e+001
+9.64930700003e+003,-6.24421823482e+001
+9.82308861817e+003,-6.11894861367e+001
+1.00000000000e+004,-6.28227852150e+001
+1.01800975118e+004,-6.41730240030e+001
+1.03634385350e+004,-6.33682698820e+001
+1.05500814844e+004,-6.33346694273e+001
+1.07400858268e+004,-6.29110647150e+001
+1.09335121002e+004,-6.28430148770e+001
+1.11304219327e+004,-6.25540159722e+001
+1.13308780622e+004,-6.31243229493e+001
+1.15349443568e+004,-6.50443679616e+001
+1.17426858345e+004,-6.40281851948e+001
+1.19541686846e+004,-6.26953039340e+001
+1.21694602882e+004,-6.35754941426e+001
+1.23886292399e+004,-6.73218956411e+001
+1.26117453700e+004,-6.53569960742e+001
+1.28388797661e+004,-6.35996122609e+001
+1.30701047961e+004,-6.43208735736e+001
+1.33054941314e+004,-6.56263736895e+001
+1.35451227700e+004,-6.52798822396e+001
+1.37890670608e+004,-6.57090109190e+001
+1.40374047276e+004,-6.45582859919e+001
+1.42902148939e+004,-6.33108456270e+001
+1.45475781085e+004,-6.31704501368e+001
+1.48095763705e+004,-6.32378136737e+001
+1.50762931560e+004,-6.32097184212e+001
+1.53478134445e+004,-6.42665260535e+001
+1.56242237458e+004,-6.51769659882e+001
+1.59056121278e+004,-6.60429903908e+001
+1.61920682446e+004,-6.71301627510e+001
+1.64836833648e+004,-6.61850116254e+001
+1.67805504007e+004,-6.60319533215e+001
+1.70827639381e+004,-6.44877157598e+001
+1.73904202661e+004,-6.52971004309e+001
+1.77036174080e+004,-6.55850744661e+001
+1.80224551525e+004,-6.49633329694e+001
+1.83470350855e+004,-6.46814478224e+001
+1.86774606222e+004,-6.55582477838e+001
+1.90138370407e+004,-6.64152668804e+001
+1.93562715148e+004,-6.72303409931e+001
+1.97048731486e+004,-6.74833205233e+001
+2.00597530110e+004,-6.62055387475e+001
+2.04210241715e+004,-6.58379204929e+001
+2.07888017356e+004,-6.50463901505e+001
