Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.89331873764e+001
+1.01800975118e+000,-5.93982006398e+001
+1.03634385350e+000,-5.98632101615e+001
+1.05500814844e+000,-6.03282158057e+001
+1.07400858268e+000,-6.07932174319e+001
+1.09335121002e+000,-6.12582148940e+001
+1.11304219327e+000,-6.17232080410e+001
+1.13308780622e+000,-6.21881967163e+001
+1.15349443568e+000,-6.26531807576e+001
+1.17426858345e+000,-6.31183067953e+001
+1.19541686846e+000,-6.35832810581e+001
+1.21694602882e+000,-6.40482501641e+001
+1.23886292399e+000,-6.45132139260e+001
+1.26117453700e+000,-6.49781721501e+001
+1.28388797661e+000,-6.55318956882e+001
+1.30701047961e+000,-6.59968422266e+001
+1.33054941314e+000,-6.64617826025e+001
+1.35451227700e+000,-6.69267165922e+001
+1.37890670608e+000,-6.73916439643e+001
+1.40374047276e+000,-6.71827633965e+001
+1.42902148939e+000,-6.76476768047e+001
+1.45475781085e+000,-6.81125828490e+001
+1.48095763705e+000,-6.85774812624e+001
+1.50762931560e+000,-6.99750627663e+001
+1.53478134445e+000,-7.04399450782e+001
+1.56242237458e+000,-7.09048188991e+001
+1.59056121278e+000,-7.13696839212e+001
+1.61920682446e+000,-7.12857308838e+001
+1.64836833648e+000,-7.17505773405e+001
+1.67805504007e+000,-7.22154140071e+001
+1.70827639381e+000,-7.26802405290e+001
+1.73904202661e+000,-7.24201172537e+001
+1.77036174080e+000,-7.28849223706e+001
+1.80224551525e+000,-7.33497162004e+001
+1.83470350855e+000,-7.38144983343e+001
+1.86774606222e+000,-7.36240462889e+001
+1.90138370407e+000,-7.40888037459e+001
+1.93562715148e+000,-7.45535481907e+001
+1.97048731486e+000,-7.48830405839e+001
+2.00597530110e+000,-7.53477575749e+001
+2.04210241715e+000,-7.58124600899e+001
+2.07888017356e+000,-7.72027790554e+001
+2.11632028822e+000,-7.76674510290e+001
+2.15443469003e+000,-7.81321068990e+001
+2.19323552273e+000,-7.80759755893e+001
+2.23273514878e+000,-7.85405974851e+001
+2.27294615326e+000,-7.90052014676e+001
+2.31388134792e+000,-7.93003582762e+001
+2.35555377526e+000,-7.97649244682e+001
+2.39797671264e+000,-8.02294707354e+001
+2.44116367658e+000,-8.02454166730e+001
+2.48512842698e+000,-8.07099209076e+001
+2.52988497160e+000,-8.11744029819e+001
+2.57544757045e+000,-8.19044071613e+001
+2.62183074038e+000,-8.23688424887e+001
+2.66904925965e+000,-8.12585503084e+001
+2.71711817270e+000,-8.17229354580e+001
+2.76605279492e+000,-8.21872941550e+001
+2.81586871751e+000,-8.22615502858e+001
+2.86658181246e+000,-8.27258531857e+001
+2.91820823764e+000,-8.33845625994e+001
+2.97076444190e+000,-8.38488056141e+001
+3.02426717031e+000,-8.35673244208e+001
+3.07873346955e+000,-8.40315031658e+001
+3.13418069329e+000,-8.38224492220e+001
+3.19062650773e+000,-8.42865589957e+001
+3.24808889724e+000,-8.44557302940e+001
+3.30658617009e+000,-8.49197660551e+001
+3.36613696427e+000,-8.45377518914e+001
+3.42676025343e+000,-8.50017082350e+001
+3.48847535295e+000,-8.49714646832e+001
+3.55130192606e+000,-8.54353358155e+001
+3.61525999011e+000,-8.57717491957e+001
+3.68036992298e+000,-8.62355289069e+001
+3.74665246955e+000,-8.63182827602e+001
+3.81412874828e+000,-8.65315516013e+001
+3.88282025801e+000,-8.69951815557e+001
+3.95274888473e+000,-8.70561752050e+001
+4.02393690862e+000,-8.75196961991e+001
+4.09640701111e+000,-8.72770347689e+001
+4.17018228212e+000,-8.74987353758e+001
+4.24528622739e+000,-8.79620779318e+001
+4.32174277604e+000,-8.84513019746e+001
+4.39957628810e+000,-8.86227829963e+001
+4.47881156235e+000,-8.90859273907e+001
+4.55947384417e+000,-8.89970183262e+001
+4.64158883361e+000,-8.91357979865e+001
+4.72518269359e+000,-8.95987223710e+001
+4.81028205818e+000,-8.95644128451e+001
