Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+001,-9.65590705867e+001
+1.33054941314e+001,-9.63631994443e+001
+1.35451227700e+001,-9.49180547774e+001
+1.37890670608e+001,-9.69359926491e+001
+1.40374047276e+001,-9.63962389105e+001
+1.42902148939e+001,-9.65328714330e+001
+1.45475781085e+001,-9.76841233866e+001
+1.48095763705e+001,-9.65557403924e+001
+1.50762931560e+001,-9.65749428471e+001
+1.53478134445e+001,-9.71350633494e+001
+1.56242237458e+001,-9.87037480414e+001
+1.59056121278e+001,-9.88021934985e+001
+1.61920682446e+001,-9.91871452261e+001
+1.64836833648e+001,-9.85815142916e+001
+1.67805504007e+001,-9.84538431434e+001
+1.70827639381e+001,-1.00582418895e+002
+1.73904202661e+001,-1.00320867137e+002
+1.77036174080e+001,-9.95288091945e+001
+1.80224551525e+001,-9.92927845891e+001
+1.83470350855e+001,-1.01481465389e+002
+1.86774606222e+001,-1.00987488511e+002
+1.90138370407e+001,-9.91863706037e+001
+1.93562715148e+001,-1.00733934860e+002
+1.97048731486e+001,-1.01498753175e+002
+2.00597530110e+001,-1.00893916178e+002
+2.04210241715e+001,-1.01820922510e+002
+2.07888017356e+001,-1.01590534875e+002
+2.11632028822e+001,-1.01683028175e+002
+2.15443469003e+001,-1.02258606056e+002
+2.19323552273e+001,-1.01558904093e+002
+2.23273514878e+001,-1.02692997236e+002
+2.27294615326e+001,-1.03208363134e+002
+2.31388134792e+001,-1.02650515330e+002
+2.35555377526e+001,-1.03434419314e+002
+2.39797671264e+001,-1.04407165622e+002
+2.44116367658e+001,-1.03529836679e+002
+2.48512842698e+001,-1.02892511735e+002
+2.52988497160e+001,-1.03815730597e+002
+2.57544757045e+001,-1.03159652826e+002
+2.62183074038e+001,-1.03702477808e+002
+2.66904925965e+001,-1.05081072708e+002
+2.71711817270e+001,-1.05166617336e+002
+2.76605279492e+001,-1.04897917408e+002
+2.81586871751e+001,-1.04824625617e+002
+2.86658181246e+001,-1.05801957829e+002
+2.91820823764e+001,-1.05753154989e+002
+2.97076444190e+001,-1.05310439364e+002
+3.02426717031e+001,-1.04926781070e+002
+3.07873346955e+001,-1.05316354117e+002
+3.13418069329e+001,-1.06318593384e+002
+3.19062650773e+001,-1.07875861723e+002
+3.24808889724e+001,-1.07109138486e+002
+3.30658617009e+001,-1.07252995110e+002
+3.36613696427e+001,-1.06752716160e+002
+3.42676025343e+001,-1.07522685518e+002
+3.48847535295e+001,-1.08253273707e+002
+3.55130192606e+001,-1.07136726544e+002
+3.61525999011e+001,-1.07281710877e+002
+3.68036992298e+001,-1.08898267295e+002
+3.74665246955e+001,-1.08415298526e+002
+3.81412874828e+001,-1.08094706736e+002
+3.88282025801e+001,-1.08715266230e+002
