Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+001,-9.90617166721e+001
+1.33054941314e+001,-9.92801223151e+001
+1.35451227700e+001,-9.93538422154e+001
+1.37890670608e+001,-9.97434523658e+001
+1.40374047276e+001,-9.99277631324e+001
+1.42902148939e+001,-9.99557971298e+001
+1.45475781085e+001,-1.00313047730e+002
+1.48095763705e+001,-1.00200025797e+002
+1.50762931560e+001,-1.00761764138e+002
+1.53478134445e+001,-1.00863486911e+002
+1.56242237458e+001,-1.01215372158e+002
+1.59056121278e+001,-1.01421154129e+002
+1.61920682446e+001,-1.01505544418e+002
+1.64836833648e+001,-1.01779352757e+002
+1.67805504007e+001,-1.02187670420e+002
+1.70827639381e+001,-1.02263668104e+002
+1.73904202661e+001,-1.02063948942e+002
+1.77036174080e+001,-1.02544387895e+002
+1.80224551525e+001,-1.02742514209e+002
+1.83470350855e+001,-1.02962825028e+002
+1.86774606222e+001,-1.03115905431e+002
+1.90138370407e+001,-1.03309981682e+002
+1.93562715148e+001,-1.03261496615e+002
+1.97048731486e+001,-1.03588061632e+002
+2.00597530110e+001,-1.04029832472e+002
+2.04210241715e+001,-1.04316072841e+002
+2.07888017356e+001,-1.04410947015e+002
+2.11632028822e+001,-1.04489760680e+002
+2.15443469003e+001,-1.04702278092e+002
+2.19323552273e+001,-1.05006787017e+002
+2.23273514878e+001,-1.04782670587e+002
+2.27294615326e+001,-1.05226432276e+002
+2.31388134792e+001,-1.05504669817e+002
+2.35555377526e+001,-1.05466143944e+002
+2.39797671264e+001,-1.05800360281e+002
+2.44116367658e+001,-1.06353395204e+002
+2.48512842698e+001,-1.06067549286e+002
+2.52988497160e+001,-1.06005218380e+002
+2.57544757045e+001,-1.06751333265e+002
+2.62183074038e+001,-1.06828486030e+002
+2.66904925965e+001,-1.07117233839e+002
+2.71711817270e+001,-1.07198610401e+002
+2.76605279492e+001,-1.07033143472e+002
+2.81586871751e+001,-1.07600300836e+002
+2.86658181246e+001,-1.07700019851e+002
