Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+001,-1.14761934811e+002
+1.33054941314e+001,-1.15607692389e+002
+1.35451227700e+001,-1.11714149137e+002
+1.37890670608e+001,-1.09630675225e+002
+1.40374047276e+001,-1.10977977758e+002
+1.42902148939e+001,-1.13662062903e+002
+1.45475781085e+001,-1.14289313957e+002
+1.48095763705e+001,-1.13639502649e+002
+1.50762931560e+001,-1.12959118860e+002
+1.53478134445e+001,-1.17428435990e+002
+1.56242237458e+001,-1.16489005428e+002
+1.59056121278e+001,-1.13955149388e+002
+1.61920682446e+001,-1.15441297713e+002
+1.64836833648e+001,-1.13344581539e+002
+1.67805504007e+001,-1.15185919903e+002
+1.70827639381e+001,-1.15583855395e+002
+1.73904202661e+001,-1.17027460065e+002
+1.77036174080e+001,-1.15538736255e+002
+1.80224551525e+001,-1.15923604270e+002
+1.83470350855e+001,-1.17522942325e+002
+1.86774606222e+001,-1.14355790060e+002
+1.90138370407e+001,-1.12987337960e+002
+1.93562715148e+001,-1.11895320896e+002
+1.97048731486e+001,-1.15173610128e+002
+2.00597530110e+001,-1.20020918980e+002
+2.04210241715e+001,-1.18082701688e+002
+2.07888017356e+001,-1.16353943443e+002
+2.11632028822e+001,-1.18369551054e+002
+2.15443469003e+001,-1.26859007577e+002
+2.19323552273e+001,-1.11823400697e+002
+2.23273514878e+001,-1.16759718149e+002
+2.27294615326e+001,-1.17533346363e+002
+2.31388134792e+001,-1.12780567180e+002
+2.35555377526e+001,-1.19930636559e+002
+2.39797671264e+001,-1.16983799629e+002
+2.44116367658e+001,-1.18722362558e+002
+2.48512842698e+001,-1.15633664971e+002
+2.52988497160e+001,-1.17893321525e+002
+2.57544757045e+001,-1.19138867803e+002
+2.62183074038e+001,-1.21401809242e+002
+2.66904925965e+001,-1.15837550240e+002
+2.71711817270e+001,-1.16539979240e+002
+2.76605279492e+001,-1.24255716671e+002
+2.81586871751e+001,-1.19886471455e+002
+2.86658181246e+001,-1.16305096872e+002
+2.91820823764e+001,-1.15682391235e+002
+2.97076444190e+001,-1.17146138835e+002
+3.02426717031e+001,-1.16191903422e+002
+3.07873346955e+001,-1.22923418332e+002
+3.13418069329e+001,-1.19392952286e+002
+3.19062650773e+001,-1.18570493168e+002
+3.24808889724e+001,-1.18044338627e+002
+3.30658617009e+001,-1.22485135035e+002
+3.36613696427e+001,-1.19937797071e+002
+3.42676025343e+001,-1.21059952927e+002
+3.48847535295e+001,-1.25207730310e+002
+3.55130192606e+001,-1.20436798594e+002
+3.61525999011e+001,-1.18614559927e+002
+3.68036992298e+001,-1.27526958329e+002
+3.74665246955e+001,-1.19034329883e+002
+3.81412874828e+001,-1.21394618897e+002
+3.88282025801e+001,-1.20691759356e+002
+3.95274888473e+001,-1.22375302675e+002
+4.02393690862e+001,-1.26738651111e+002
+4.09640701111e+001,-1.24756622569e+002
+4.17018228212e+001,-1.20072540972e+002
+4.24528622739e+001,-1.18850047838e+002
+4.32174277604e+001,-1.22568913005e+002
+4.39957628810e+001,-1.29917962015e+002
+4.47881156235e+001,-1.19086435541e+002
+4.55947384417e+001,-1.21254264555e+002
+4.64158883361e+001,-1.21752181381e+002
+4.72518269359e+001,-1.23525014300e+002
+4.81028205818e+001,-1.23382079078e+002
+4.89691404115e+001,-1.24260684104e+002
+4.98510624459e+001,-1.22883474667e+002
+5.07488676766e+001,-1.20838562998e+002
+5.16628421561e+001,-1.29168883981e+002
+5.25932770886e+001,-1.24338905780e+002
+5.35404689227e+001,-1.26530697639e+002
+5.45047194461e+001,-1.23963616256e+002
+5.54863358815e+001,-1.26887714799e+002
+5.64856309846e+001,-1.22505559255e+002
+5.75029231439e+001,-1.25762085434e+002
+5.85385364818e+001,-1.25065304055e+002
+5.95928009583e+001,-1.27854532428e+002
+6.06660524757e+001,-1.28777404466e+002
+6.17586329859e+001,-1.27476502531e+002
+6.28708905992e+001,-1.33570865998e+002
+6.40031796953e+001,-1.26622060593e+002
+6.51558610364e+001,-1.28024647650e+002
+6.63293018816e+001,-1.31400486527e+002
+6.75238761044e+001,-1.26857212361e+002
+6.87399643118e+001,-1.26868319429e+002
+6.99779539652e+001,-1.29287318499e+002
+7.12382395042e+001,-1.26041156691e+002
+7.25212224722e+001,-1.28522353609e+002
+7.38273116442e+001,-1.32386463850e+002
+7.51569231572e+001,-1.30395399685e+002
+7.65104806427e+001,-1.28746397881e+002
+7.78884153618e+001,-1.29908404091e+002
+7.92911663423e+001,-1.31929783136e+002
+8.07191805189e+001,-1.27462586184e+002
