Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.92970967597e+001
+1.01800975118e+000,-5.97621100230e+001
+1.03634385350e+000,-6.02271195447e+001
+1.05500814844e+000,-6.06921251890e+001
+1.07400858268e+000,-6.11571268151e+001
+1.09335121002e+000,-6.16221242772e+001
+1.11304219327e+000,-6.20871174242e+001
+1.13308780622e+000,-6.25521060996e+001
+1.15349443568e+000,-6.30170901409e+001
+1.17426858345e+000,-6.41130240500e+001
+1.19541686846e+000,-6.45779983128e+001
+1.21694602882e+000,-6.50429674188e+001
+1.23886292399e+000,-6.55079311807e+001
+1.26117453700e+000,-6.59728894048e+001
+1.28388797661e+000,-6.89262119825e+001
+1.30701047961e+000,-6.93911585210e+001
+1.33054941314e+000,-6.98560988968e+001
+1.35451227700e+000,-7.03210328866e+001
+1.37890670608e+000,-7.07859602587e+001
+1.40374047276e+000,-6.81379402215e+001
+1.42902148939e+000,-6.86028536297e+001
+1.45475781085e+000,-6.90677596740e+001
+1.48095763705e+000,-6.95326580874e+001
+1.50762931560e+000,-7.03277934885e+001
+1.53478134445e+000,-7.07926758004e+001
+1.56242237458e+000,-7.12575496212e+001
+1.59056121278e+000,-7.17224146434e+001
+1.61920682446e+000,-7.12979996032e+001
+1.64836833648e+000,-7.17628460599e+001
+1.67805504007e+000,-7.22276827265e+001
+1.70827639381e+000,-7.26925092484e+001
+1.73904202661e+000,-7.37243581845e+001
+1.77036174080e+000,-7.41891633014e+001
+1.80224551525e+000,-7.46539571312e+001
+1.83470350855e+000,-7.51187392651e+001
+1.86774606222e+000,-7.54113564853e+001
+1.90138370407e+000,-7.58761139423e+001
+1.93562715148e+000,-7.63408583871e+001
+1.97048731486e+000,-7.57428225199e+001
+2.00597530110e+000,-7.62075395109e+001
+2.04210241715e+000,-7.66722420260e+001
+2.07888017356e+000,-7.68420970201e+001
+2.11632028822e+000,-7.73067689938e+001
+2.15443469003e+000,-7.77714248638e+001
+2.19323552273e+000,-7.93284716018e+001
+2.23273514878e+000,-7.97930934975e+001
+2.27294615326e+000,-8.02576974800e+001
+2.31388134792e+000,-8.07516889118e+001
+2.35555377526e+000,-8.12162551037e+001
+2.39797671264e+000,-8.16808013710e+001
+2.44116367658e+000,-8.10057083946e+001
+2.48512842698e+000,-8.14702126292e+001
+2.52988497160e+000,-8.19346947035e+001
+2.57544757045e+000,-8.22901757237e+001
+2.62183074038e+000,-8.27546110510e+001
+2.66904925965e+000,-8.25553667922e+001
+2.71711817270e+000,-8.30197519418e+001
+2.76605279492e+000,-8.34841106388e+001
+2.81586871751e+000,-8.29764721887e+001
+2.86658181246e+000,-8.34407750886e+001
+2.91820823764e+000,-8.37111255246e+001
+2.97076444190e+000,-8.41753685393e+001
