Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+001,-9.57024791009e+001
+1.33054941314e+001,-9.62990735314e+001
+1.35451227700e+001,-9.62784829561e+001
+1.37890670608e+001,-9.64615196396e+001
+1.40374047276e+001,-9.74399057589e+001
+1.42902148939e+001,-9.88540139203e+001
+1.45475781085e+001,-9.71843727260e+001
+1.48095763705e+001,-9.69901943557e+001
+1.50762931560e+001,-9.66199740426e+001
+1.53478134445e+001,-9.76530514753e+001
+1.56242237458e+001,-9.77509528662e+001
+1.59056121278e+001,-9.72146036114e+001
+1.61920682446e+001,-9.72364701463e+001
+1.64836833648e+001,-9.82396340322e+001
+1.67805504007e+001,-9.99478267615e+001
+1.70827639381e+001,-9.87943470422e+001
+1.73904202661e+001,-1.00382015742e+002
+1.77036174080e+001,-9.99260010845e+001
+1.80224551525e+001,-9.90198753646e+001
+1.83470350855e+001,-1.00723155118e+002
+1.86774606222e+001,-9.97915935444e+001
+1.90138370407e+001,-9.96662053225e+001
+1.93562715148e+001,-9.91153958929e+001
+1.97048731486e+001,-1.00990003702e+002
+2.00597530110e+001,-1.00913616067e+002
+2.04210241715e+001,-1.01630989699e+002
+2.07888017356e+001,-1.02748147743e+002
+2.11632028822e+001,-1.01602004257e+002
+2.15443469003e+001,-1.02086542429e+002
+2.19323552273e+001,-1.01189757093e+002
+2.23273514878e+001,-1.03692504256e+002
+2.27294615326e+001,-1.03618607043e+002
+2.31388134792e+001,-1.01711379948e+002
+2.35555377526e+001,-1.01817707009e+002
+2.39797671264e+001,-1.02854034027e+002
+2.44116367658e+001,-1.02814364826e+002
+2.48512842698e+001,-1.03763717131e+002
+2.52988497160e+001,-1.02818895947e+002
+2.57544757045e+001,-1.03783129587e+002
+2.62183074038e+001,-1.02647982878e+002
+2.66904925965e+001,-1.04855415860e+002
+2.71711817270e+001,-1.03936369683e+002
+2.76605279492e+001,-1.05561076505e+002
+2.81586871751e+001,-1.03839307826e+002
+2.86658181246e+001,-1.05841121631e+002
+2.91820823764e+001,-1.05809568048e+002
+2.97076444190e+001,-1.06513521216e+002
+3.02426717031e+001,-1.04428404694e+002
+3.07873346955e+001,-1.04995996905e+002
+3.13418069329e+001,-1.06742095414e+002
+3.19062650773e+001,-1.06805381684e+002
+3.24808889724e+001,-1.04428589261e+002
+3.30658617009e+001,-1.06017362551e+002
+3.36613696427e+001,-1.07995354449e+002
+3.42676025343e+001,-1.08132810690e+002
+3.48847535295e+001,-1.07307559419e+002
+3.55130192606e+001,-1.07871598257e+002
+3.61525999011e+001,-1.08894920837e+002
+3.68036992298e+001,-1.06922304366e+002
+3.74665246955e+001,-1.08572669196e+002
+3.81412874828e+001,-1.08941894217e+002
+3.88282025801e+001,-1.08272185701e+002
+3.95274888473e+001,-1.09280511053e+002
+4.02393690862e+001,-1.09224485851e+002
+4.09640701111e+001,-1.09718348588e+002
+4.17018228212e+001,-1.08536881495e+002
+4.24528622739e+001,-1.08334063217e+002
+4.32174277604e+001,-1.10419805047e+002
+4.39957628810e+001,-1.10029897790e+002
+4.47881156235e+001,-1.09295640066e+002
+4.55947384417e+001,-1.09138862451e+002
+4.64158883361e+001,-1.11493067960e+002
+4.72518269359e+001,-1.10692130463e+002
+4.81028205818e+001,-1.12115827313e+002
+4.89691404115e+001,-1.10847663966e+002
+4.98510624459e+001,-1.11647898964e+002
+5.07488676766e+001,-1.11418146116e+002
+5.16628421561e+001,-1.10680751781e+002
+5.25932770886e+001,-1.12115728220e+002
+5.35404689227e+001,-1.12060076570e+002
+5.45047194461e+001,-1.12021834983e+002
+5.54863358815e+001,-1.14371562741e+002
+5.64856309846e+001,-1.13175370131e+002
+5.75029231439e+001,-1.11830999827e+002
+5.85385364818e+001,-1.12499688079e+002
+5.95928009583e+001,-1.08707560944e+002
+6.06660524757e+001,-1.17883388196e+002
+6.17586329859e+001,-1.10961937621e+002
+6.28708905992e+001,-1.12329017046e+002
+6.40031796953e+001,-1.10518585335e+002
+6.51558610364e+001,-1.11968699339e+002
+6.63293018816e+001,-1.14558783577e+002
+6.75238761044e+001,-1.14065445294e+002
+6.87399643118e+001,-1.15422320331e+002
+6.99779539652e+001,-1.13814464159e+002
+7.12382395042e+001,-1.14047993084e+002
+7.25212224722e+001,-1.14403620378e+002
+7.38273116442e+001,-1.16868203691e+002
+7.51569231572e+001,-1.14687398255e+002
+7.65104806427e+001,-1.18064817866e+002
+7.78884153618e+001,-1.15018626245e+002
+7.92911663423e+001,-1.16594076157e+002
+8.07191805189e+001,-1.16338856897e+002
+8.21729128755e+001,-1.16552848767e+002
+8.36528265901e+001,-1.15068841074e+002
+8.51593931825e+001,-1.17451304457e+002
+8.66930926644e+001,-1.18357563712e+002
+8.82544136923e+001,-1.16416623764e+002
+8.98438537235e+001,-1.16817360664e+002
+9.14619191741e+001,-1.18406473727e+002
+9.31091255809e+001,-1.16849168939e+002
+9.47859977652e+001,-1.18081094234e+002
+9.64930700003e+001,-1.16948583352e+002
+9.82308861817e+001,-1.17384493767e+002
+1.00000000000e+002,-1.16687033547e+002
+1.01800975118e+002,-1.17949281555e+002
+1.03634385350e+002,-1.17775077685e+002
+1.05500814844e+002,-1.20884390957e+002
+1.07400858268e+002,-1.20061835906e+002
+1.09335121002e+002,-1.19656574262e+002
+1.11304219327e+002,-1.18456542940e+002
+1.13308780622e+002,-1.20510676104e+002
+1.15349443568e+002,-1.21033715158e+002
+1.17426858345e+002,-1.21304406079e+002
+1.19541686846e+002,-1.20653380772e+002
+1.21694602882e+002,-1.18067922849e+002
+1.23886292399e+002,-1.19000611837e+002
+1.26117453700e+002,-1.17868833465e+002
+1.28388797661e+002,-1.21078670207e+002
+1.30701047961e+002,-1.18943236599e+002
+1.33054941314e+002,-1.18724115764e+002
+1.35451227700e+002,-1.19360505313e+002
+1.37890670608e+002,-1.20118903817e+002
+1.40374047276e+002,-1.22076406328e+002
+1.42902148939e+002,-1.19683001471e+002
+1.45475781085e+002,-1.21733602288e+002
+1.48095763705e+002,-1.21644346850e+002
+1.50762931560e+002,-1.21766042453e+002
+1.53478134445e+002,-1.20084103311e+002
+1.56242237458e+002,-1.21475774566e+002
+1.59056121278e+002,-1.21982611681e+002
+1.61920682446e+002,-1.21815125806e+002
+1.64836833648e+002,-1.22163238491e+002
+1.67805504007e+002,-1.22050632504e+002
+1.70827639381e+002,-1.21807049890e+002
+1.73904202661e+002,-1.21145226312e+002
+1.77036174080e+002,-1.21410785762e+002
+1.80224551525e+002,-1.21839298259e+002
+1.83470350855e+002,-1.20584510401e+002
+1.86774606222e+002,-1.19439017619e+002
+1.90138370407e+002,-1.20062421153e+002
+1.93562715148e+002,-1.21728198092e+002
+1.97048731486e+002,-1.22187136710e+002
+2.00597530110e+002,-1.22523858758e+002
+2.04210241715e+002,-1.22330103141e+002
+2.07888017356e+002,-1.22115545870e+002
+2.11632028822e+002,-1.22591423040e+002
+2.15443469003e+002,-1.24076957828e+002
+2.19323552273e+002,-1.25765878166e+002
+2.23273514878e+002,-1.23509118694e+002
+2.27294615326e+002,-1.23254783172e+002
+2.31388134792e+002,-1.23850433625e+002
+2.35555377526e+002,-1.23849621319e+002
+2.39797671264e+002,-1.23334329389e+002
+2.44116367658e+002,-1.24198785845e+002
+2.48512842698e+002,-1.25032179657e+002
+2.52988497160e+002,-1.26272161864e+002
+2.57544757045e+002,-1.24707283300e+002
+2.62183074038e+002,-1.25272295299e+002
+2.66904925965e+002,-1.25773431428e+002
+2.71711817270e+002,-1.25000960286e+002
+2.76605279492e+002,-1.26198945429e+002
+2.81586871751e+002,-1.24620120363e+002
+2.86658181246e+002,-1.23763298447e+002
+2.91820823764e+002,-1.24454712085e+002
+2.97076444190e+002,-1.24712846139e+002
+3.02426717031e+002,-1.25365236464e+002
