Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+001,-1.02093730480e+002
+1.33054941314e+001,-1.02349338937e+002
+1.35451227700e+001,-1.02362722359e+002
+1.37890670608e+001,-1.02913117394e+002
+1.40374047276e+001,-1.03163423465e+002
+1.42902148939e+001,-1.03433485480e+002
+1.45475781085e+001,-1.03501347812e+002
+1.48095763705e+001,-1.03543043013e+002
+1.50762931560e+001,-1.03932678871e+002
+1.53478134445e+001,-1.04062158773e+002
+1.56242237458e+001,-1.04057311723e+002
+1.59056121278e+001,-1.04226395458e+002
+1.61920682446e+001,-1.04397264552e+002
+1.64836833648e+001,-1.04776473180e+002
+1.67805504007e+001,-1.05115599944e+002
+1.70827639381e+001,-1.05063508585e+002
+1.73904202661e+001,-1.05310470252e+002
+1.77036174080e+001,-1.05461664239e+002
+1.80224551525e+001,-1.05705430227e+002
+1.83470350855e+001,-1.06061786871e+002
+1.86774606222e+001,-1.06527849164e+002
+1.90138370407e+001,-1.06333566003e+002
+1.93562715148e+001,-1.06630603450e+002
+1.97048731486e+001,-1.07052941032e+002
+2.00597530110e+001,-1.07034511741e+002
+2.04210241715e+001,-1.07324409086e+002
+2.07888017356e+001,-1.07233061900e+002
+2.11632028822e+001,-1.07173973382e+002
+2.15443469003e+001,-1.07589147451e+002
+2.19323552273e+001,-1.08001890459e+002
+2.23273514878e+001,-1.08093994940e+002
+2.27294615326e+001,-1.08366915889e+002
+2.31388134792e+001,-1.08564595440e+002
+2.35555377526e+001,-1.08664090136e+002
+2.39797671264e+001,-1.08609575475e+002
+2.44116367658e+001,-1.09132455357e+002
+2.48512842698e+001,-1.09303863143e+002
+2.52988497160e+001,-1.09749112021e+002
+2.57544757045e+001,-1.09717775303e+002
+2.62183074038e+001,-1.09514503663e+002
+2.66904925965e+001,-1.10189267253e+002
+2.71711817270e+001,-1.10403232834e+002
+2.76605279492e+001,-1.10304836209e+002
+2.81586871751e+001,-1.10792151735e+002
+2.86658181246e+001,-1.10969289647e+002
+2.91820823764e+001,-1.10813371709e+002
+2.97076444190e+001,-1.10879040380e+002
+3.02426717031e+001,-1.11432501602e+002
+3.07873346955e+001,-1.11334101692e+002
+3.13418069329e+001,-1.11588909163e+002
+3.19062650773e+001,-1.11986306563e+002
+3.24808889724e+001,-1.12432689641e+002
+3.30658617009e+001,-1.12038591454e+002
+3.36613696427e+001,-1.12305460974e+002
+3.42676025343e+001,-1.12582781424e+002
+3.48847535295e+001,-1.12813553087e+002
+3.55130192606e+001,-1.13264456631e+002
+3.61525999011e+001,-1.13321952814e+002
+3.68036992298e+001,-1.13447232052e+002
+3.74665246955e+001,-1.13552299722e+002
+3.81412874828e+001,-1.13903888714e+002
+3.88282025801e+001,-1.13802556861e+002
+3.95274888473e+001,-1.13854041376e+002
+4.02393690862e+001,-1.14139925796e+002
+4.09640701111e+001,-1.14646269667e+002
+4.17018228212e+001,-1.14665664891e+002
+4.24528622739e+001,-1.15177227520e+002
+4.32174277604e+001,-1.14899939206e+002
+4.39957628810e+001,-1.15081233265e+002
+4.47881156235e+001,-1.16127128890e+002
+4.55947384417e+001,-1.15998347811e+002
+4.64158883361e+001,-1.15958267409e+002
+4.72518269359e+001,-1.15827614681e+002
+4.81028205818e+001,-1.15963114043e+002
+4.89691404115e+001,-1.16127422173e+002
+4.98510624459e+001,-1.16209621349e+002
+5.07488676766e+001,-1.16393442818e+002
+5.16628421561e+001,-1.16746416554e+002
+5.25932770886e+001,-1.17135351024e+002
+5.35404689227e+001,-1.17316661267e+002
+5.45047194461e+001,-1.17341175759e+002
+5.54863358815e+001,-1.17574557541e+002
+5.64856309846e+001,-1.17565308042e+002
+5.75029231439e+001,-1.17527585753e+002
+5.85385364818e+001,-1.17746321878e+002
+5.95928009583e+001,-1.09364669872e+002
+6.06660524757e+001,-1.17293801638e+002
+6.17586329859e+001,-1.18045670283e+002
+6.28708905992e+001,-1.18711785259e+002
+6.40031796953e+001,-1.12524667633e+002
+6.51558610364e+001,-1.18039898632e+002
+6.63293018816e+001,-1.18937011820e+002
+6.75238761044e+001,-1.19577313016e+002
+6.87399643118e+001,-1.19947793549e+002
+6.99779539652e+001,-1.20047525406e+002
+7.12382395042e+001,-1.19791271790e+002
+7.25212224722e+001,-1.19775462809e+002
+7.38273116442e+001,-1.19848871261e+002
+7.51569231572e+001,-1.21130510707e+002
+7.65104806427e+001,-1.20841310452e+002
+7.78884153618e+001,-1.20328289933e+002
+7.92911663423e+001,-1.21346893001e+002
+8.07191805189e+001,-1.21109621932e+002
+8.21729128755e+001,-1.21336336531e+002
+8.36528265901e+001,-1.21309103522e+002
+8.51593931825e+001,-1.21710216359e+002
+8.66930926644e+001,-1.21426957515e+002
+8.82544136923e+001,-1.21825266932e+002
+8.98438537235e+001,-1.22170430835e+002
+9.14619191741e+001,-1.22606122114e+002
+9.31091255809e+001,-1.21846740004e+002
+9.47859977652e+001,-1.22806992640e+002
+9.64930700003e+001,-1.23106960150e+002
+9.82308861817e+001,-1.23088997475e+002
+1.00000000000e+002,-1.23258132161e+002
+1.01800975118e+002,-1.23035192983e+002
+1.03634385350e+002,-1.22664635650e+002
+1.05500814844e+002,-1.23279088156e+002
+1.07400858268e+002,-1.23712586975e+002
+1.09335121002e+002,-1.22789600486e+002
+1.11304219327e+002,-1.23318363145e+002
+1.13308780622e+002,-1.23502373866e+002
+1.15349443568e+002,-1.23604456666e+002
+1.17426858345e+002,-1.23635996151e+002
+1.19541686846e+002,-1.23887685406e+002
+1.21694602882e+002,-1.23557862559e+002
+1.23886292399e+002,-1.24062676243e+002
+1.26117453700e+002,-1.24151251881e+002
+1.28388797661e+002,-1.24431668074e+002
+1.30701047961e+002,-1.24469516526e+002
+1.33054941314e+002,-1.23854344392e+002
