
[2020-06-30 15:22:44.000] 
[2020-06-30 15:22:44.000] 0.057
[2020-06-30 15:22:44.062] 31.621
[2020-06-30 15:22:44.125] 31.650
[2020-06-30 15:22:44.189] 31.662
[2020-06-30 15:22:44.251] 31.646
[2020-06-30 15:22:44.315] 31.612
[2020-06-30 15:22:44.377] 31.574
[2020-06-30 15:22:44.442] 31.515
[2020-06-30 15:22:44.506] 31.470
[2020-06-30 15:22:44.568] 31.411
[2020-06-30 15:22:44.632] 31.359
[2020-06-30 15:22:44.697] 31.313
[2020-06-30 15:22:44.763] 31.263
[2020-06-30 15:22:44.824] 31.219
[2020-06-30 15:22:44.889] 31.173
[2020-06-30 15:22:44.953] 31.129
[2020-06-30 15:22:45.017] 31.096
[2020-06-30 15:22:45.082] 31.073
[2020-06-30 15:22:45.146] 31.047
[2020-06-30 15:22:45.211] 31.018
[2020-06-30 15:22:45.275] 30.994
[2020-06-30 15:22:45.340] 30.964
[2020-06-30 15:22:45.403] 30.927
[2020-06-30 15:22:45.469] 30.905
[2020-06-30 15:22:45.534] 30.875
[2020-06-30 15:22:45.598] 30.857
[2020-06-30 15:22:45.663] 30.826
[2020-06-30 15:22:45.731] 30.805
[2020-06-30 15:22:45.793] 30.782
[2020-06-30 15:22:45.858] 30.762
[2020-06-30 15:22:45.924] 30.746
[2020-06-30 15:22:45.989] 30.731
[2020-06-30 15:22:46.053] 30.720
[2020-06-30 15:22:46.117] 30.708
[2020-06-30 15:22:46.183] 30.695
[2020-06-30 15:22:46.249] 30.673
[2020-06-30 15:22:46.314] 30.656
[2020-06-30 15:22:46.380] 30.645
[2020-06-30 15:22:46.445] 30.639
[2020-06-30 15:22:46.510] 30.649
[2020-06-30 15:22:46.574] 30.645
[2020-06-30 15:22:46.640] 30.630
[2020-06-30 15:22:46.706] 30.611
[2020-06-30 15:22:46.771] 30.589
[2020-06-30 15:22:46.837] 30.556
[2020-06-30 15:22:46.901] 30.539
[2020-06-30 15:22:46.967] 30.523
[2020-06-30 15:22:47.033] 30.513
[2020-06-30 15:22:47.098] 30.497
[2020-06-30 15:22:47.164] 30.487
[2020-06-30 15:22:47.231] 30.473
[2020-06-30 15:22:47.295] 30.467
[2020-06-30 15:22:47.361] 30.455
[2020-06-30 15:22:47.426] 30.435
[2020-06-30 15:22:47.492] 30.437
[2020-06-30 15:22:47.559] 30.424
[2020-06-30 15:22:47.623] 30.417
[2020-06-30 15:22:47.689] 30.408
[2020-06-30 15:22:47.755] 30.404
[2020-06-30 15:22:47.821] 30.409
[2020-06-30 15:22:47.887] 30.400
[2020-06-30 15:22:47.954] 30.396
[2020-06-30 15:22:48.018] 30.397
[2020-06-30 15:22:48.086] 30.387
[2020-06-30 15:22:48.151] 30.376
[2020-06-30 15:22:48.215] 30.368
[2020-06-30 15:22:48.283] 30.366
[2020-06-30 15:22:48.347] 30.366
[2020-06-30 15:22:48.413] 30.360
[2020-06-30 15:22:48.478] 30.366
[2020-06-30 15:22:48.545] 30.368
[2020-06-30 15:22:48.611] 30.374
[2020-06-30 15:22:48.679] 30.366
[2020-06-30 15:22:48.747] 30.358
[2020-06-30 15:22:48.809] 30.350
[2020-06-30 15:22:48.875] 30.351
[2020-06-30 15:22:48.940] 30.340
[2020-06-30 15:22:49.007] 30.329
[2020-06-30 15:22:49.072] 30.328
[2020-06-30 15:22:49.138] 30.329
[2020-06-30 15:22:49.206] 30.330
[2020-06-30 15:22:49.271] 30.342
[2020-06-30 15:22:49.338] 30.333
[2020-06-30 15:22:49.402] 30.326
[2020-06-30 15:22:49.468] 30.315
[2020-06-30 15:22:49.533] 30.304
[2020-06-30 15:22:49.600] 30.314
[2020-06-30 15:22:49.666] 30.327
[2020-06-30 15:22:49.762] 30.339
[2020-06-30 15:22:49.924] 30.338
[2020-06-30 15:22:49.945] 30.330
[2020-06-30 15:22:49.987] 30.329
[2020-06-30 15:22:50.001] 30.324
[2020-06-30 15:22:50.061] 30.317
[2020-06-30 15:22:50.131] 30.304
[2020-06-30 15:22:50.231] 30.303
[2020-06-30 15:22:50.265] 30.296
[2020-06-30 15:22:50.327] 30.293
[2020-06-30 15:22:50.392] 30.285
[2020-06-30 15:22:50.463] 30.283
[2020-06-30 15:22:50.531] 30.289
[2020-06-30 15:22:50.599] 30.289
[2020-06-30 15:22:50.661] 30.290
[2020-06-30 15:22:50.725] 30.302
[2020-06-30 15:22:50.790] 30.298
[2020-06-30 15:22:50.857] 30.308
[2020-06-30 15:22:50.922] 30.305
[2020-06-30 15:22:50.986] 30.308
[2020-06-30 15:22:51.054] 30.299
[2020-06-30 15:22:51.120] 30.295
[2020-06-30 15:22:51.185] 30.300
[2020-06-30 15:22:51.268] 30.298
[2020-06-30 15:22:51.316] 30.308
[2020-06-30 15:22:51.381] 30.302
[2020-06-30 15:22:51.449] 30.303
[2020-06-30 15:22:51.513] 30.305
[2020-06-30 15:22:51.578] 30.308
[2020-06-30 15:22:51.648] 30.298
[2020-06-30 15:22:51.713] 30.298
[2020-06-30 15:22:51.777] 30.302
[2020-06-30 15:22:51.843] 30.299
[2020-06-30 15:22:51.910] 30.290
[2020-06-30 15:22:51.979] 30.273
[2020-06-30 15:22:52.047] 30.271
[2020-06-30 15:22:52.108] 30.268
[2020-06-30 15:22:52.174] 30.258
[2020-06-30 15:22:52.247] 30.252
[2020-06-30 15:22:52.312] 30.250
[2020-06-30 15:22:52.375] 30.250
[2020-06-30 15:22:52.440] 30.255
[2020-06-30 15:22:52.505] 30.260
[2020-06-30 15:22:52.570] 30.260
[2020-06-30 15:22:52.642] 30.263
[2020-06-30 15:22:52.703] 30.257
[2020-06-30 15:22:52.769] 30.245
[2020-06-30 15:22:52.841] 30.242
[2020-06-30 15:22:52.903] 30.245
[2020-06-30 15:22:52.967] 30.258
[2020-06-30 15:22:53.034] 30.250
[2020-06-30 15:22:53.100] 30.247
[2020-06-30 15:22:53.169] 30.253
[2020-06-30 15:22:53.233] 30.255
[2020-06-30 15:22:53.313] 30.255
[2020-06-30 15:22:53.377] 30.253
[2020-06-30 15:22:53.462] 30.245
[2020-06-30 15:22:53.498] 30.239
[2020-06-30 15:22:53.561] 30.235
[2020-06-30 15:22:53.628] 30.232
[2020-06-30 15:22:53.694] 30.238
[2020-06-30 15:22:53.759] 30.243
[2020-06-30 15:22:53.827] 30.244
[2020-06-30 15:22:53.891] 30.237
[2020-06-30 15:22:53.958] 30.237
[2020-06-30 15:22:54.027] 30.242
[2020-06-30 15:22:54.094] 30.239
[2020-06-30 15:22:54.159] 30.241
[2020-06-30 15:22:54.226] 30.238
[2020-06-30 15:22:54.291] 30.237
[2020-06-30 15:22:54.359] 30.238
[2020-06-30 15:22:54.425] 30.231
[2020-06-30 15:22:54.491] 30.236
[2020-06-30 15:22:54.565] 30.230
[2020-06-30 15:22:54.623] 30.246
[2020-06-30 15:22:54.689] 30.260
[2020-06-30 15:22:54.756] 30.260
[2020-06-30 15:22:54.849] 30.260
[2020-06-30 15:22:54.883] 30.258
[2020-06-30 15:22:54.949] 30.261
[2020-06-30 15:22:55.015] 30.251
[2020-06-30 15:22:55.082] 30.247
[2020-06-30 15:22:55.148] 30.258
[2020-06-30 15:22:55.219] 30.270
[2020-06-30 15:22:55.284] 30.280
[2020-06-30 15:22:55.348] 30.273
[2020-06-30 15:22:55.415] 30.265
[2020-06-30 15:22:55.481] 30.257
[2020-06-30 15:22:55.546] 30.253
[2020-06-30 15:22:55.612] 30.250
[2020-06-30 15:22:55.682] 30.250
[2020-06-30 15:22:55.745] 30.245
