
[2020-06-29 13:02:04.003] 
[2020-06-29 13:02:04.003] 0.010
[2020-06-29 13:02:04.067] 31.233
[2020-06-29 13:02:04.130] 31.254
[2020-06-29 13:02:04.193] 31.267
[2020-06-29 13:02:04.257] 31.239
[2020-06-29 13:02:04.322] 31.200
[2020-06-29 13:02:04.387] 31.163
[2020-06-29 13:02:04.449] 31.110
[2020-06-29 13:02:04.515] 31.056
[2020-06-29 13:02:04.579] 31.009
[2020-06-29 13:02:04.642] 30.965
[2020-06-29 13:02:04.708] 30.911
[2020-06-29 13:02:04.773] 30.863
[2020-06-29 13:02:04.838] 30.815
[2020-06-29 13:02:04.902] 30.768
[2020-06-29 13:02:04.967] 30.734
[2020-06-29 13:02:05.032] 30.696
[2020-06-29 13:02:05.097] 30.676
[2020-06-29 13:02:05.162] 30.653
[2020-06-29 13:02:05.228] 30.624
[2020-06-29 13:02:05.294] 30.594
[2020-06-29 13:02:05.359] 30.585
[2020-06-29 13:02:05.427] 30.568
[2020-06-29 13:02:05.490] 30.544
[2020-06-29 13:02:05.556] 30.521
[2020-06-29 13:02:05.622] 30.492
[2020-06-29 13:02:05.686] 30.475
[2020-06-29 13:02:05.753] 30.449
[2020-06-29 13:02:05.818] 30.421
[2020-06-29 13:02:05.883] 30.394
[2020-06-29 13:02:05.951] 30.375
[2020-06-29 13:02:06.017] 30.366
[2020-06-29 13:02:06.082] 30.346
[2020-06-29 13:02:06.146] 30.325
[2020-06-29 13:02:06.213] 30.302
[2020-06-29 13:02:06.280] 30.285
[2020-06-29 13:02:06.345] 30.261
[2020-06-29 13:02:06.411] 30.253
[2020-06-29 13:02:06.478] 30.245
[2020-06-29 13:02:06.544] 30.224
[2020-06-29 13:02:06.609] 30.224
[2020-06-29 13:02:06.676] 30.210
[2020-06-29 13:02:06.742] 30.214
[2020-06-29 13:02:06.809] 30.206
[2020-06-29 13:02:06.874] 30.197
[2020-06-29 13:02:06.941] 30.196
[2020-06-29 13:02:07.007] 30.189
[2020-06-29 13:02:07.076] 30.169
[2020-06-29 13:02:07.140] 30.157
[2020-06-29 13:02:07.206] 30.146
[2020-06-29 13:02:07.271] 30.143
