,16,65,72,78
3322061027.csv,40.24700000000001,42.075,41.959999999999994,42.714999999999996
3322061028.csv,40.06400000000001,41.90499999999999,41.925,42.545
3970081200.csv,44.745000000000005,46.13000000000001,46.325,46.765
3970081200_golden.csv,40.66200000000001,41.94499999999999,41.925,42.389999999999986
3970081200_golden_re.csv,40.24700000000001,42.075,41.959999999999994,42.714999999999996
3971250660.csv,38.553999999999995,41.105000000000004,41.09000000000002,41.86999999999999
